番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
32,"2024年12月25日","大阪府","ＨＰ","ニッサン","2019/01","DAA-GFC27","セレナ","59,393 Km","MR20-SM24","制動装置","２０２４年１０月","エンジン始動時から、システム故障のため使用できませんという表示とＡＢＳ、横滑り、衝突防止機能のエラー表示がでるようになった。"
33,"2024年12月25日","埼玉県","ＨＰ","三菱","2023/11","5LA-GN0W","アウトランダーＰＨＥＶ","","4B12-S91-YA1","保安灯火","２０２４年７月１２日","駐車場で出発しようとしたら、左側のミラーが格納したまま動かなかった。"
34,"2024年12月25日","愛媛県","ＨＰ","ニッサン","2021/03","5AA-B44A","ＲＯＯＸ","42,700 Km","BR06-SM21","制動装置","新車購入後３年間で１０回ほど","直進道路を走行中、何もないところで突然自動ブレーキが作動する。"
35,"2024年12月25日","愛知県","ＨＰ","トヨタ","2023/09","6AA-AAHH45W","アルファード","11,000 Km","A25A-5NM-4NM","車枠・車体","２０２４年１０月ごろ確認","スライドドア上部外板の繋ぎ目に亀裂があり、錆が出てきている。"
36,"2024年12月25日","福岡県","ＨＰ","マツダ","2022/09","3CA-KH3R3P","ＣＸ－６０","","T3-MR","緩衝装置","２０２３年３月","冷間時に左折すると右前輪の足回り付近からガタガタと大きな振動と音がする。"
37,"2024年12月25日","千葉県","ＨＰ","マツダ","2023/03","5BA-KH5P","ＣＸ－６０","15,180 Km","PY","エンジン","２０２４年１２月２５日","ダッシュ・エレクトリカル・サプライユニットの制御プログラムのリコール（国５５５４－４）を済ませた車で、メータパネルにエンジンシステム異常警告灯が点灯した。"
38,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ジープ","2021/04","3BA-KL20L","チェロキー","23,300 Km","N","エンジン","２０２４年１２月","ハンドルロックのコンピューター故障により、出先で突然ハンドルロックが解除されなくなり、始動不能になった。"
39,"2024年12月24日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2021/12","5AA-HA97S","アルト","","R06D-WA04C","走行装置","","アライメント不良により前輪タイヤが内べりした。"
40,"2024年12月24日","奈良県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2017/05","DAA-GFC27","セレナ","75,134 Km","MR20-SM24","制動装置","","ブレーキとパーキングブレーキに関わる警告灯が点灯した。整備工場で確認した結果、パーキングブレーキアクチュエーターの故障と診断された。"
41,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","その他","","カーナビにおいて、１年以上前に開通している道路が反映されてなく検索できない。渋滞路、非渋滞路の表示が実態に合っていない。現在地表示が全く実態に合ってないところを指し示す。"
42,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","その他","","パーキングアシストを使おうとしても作動しなかったことがある。"
43,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","その他","","前席で暖房を入れていても、サイドは送風、後席は冷風になってしまっており、同一の温度が出ていない。後席エアコンについて風量を１～３の間で設定を変えても風量が変わらない。"
44,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","その他","","アクティブディスタンスアシスト・ディストロニック機能において、前方車両に合わせて止まるところ、加速をしたため、自らブレーキペダルを踏まなければいけなくなったことがある。同機能のリスタートについて一旦停止時間が説明書に書かれている制限時間より短くても自動再発進機能がオフになり、自ら再発進操作が必要になってしまったことがある。また同機能の速度設定において６０ｋｍ／ｈ設定にしていたのが勝手に３０ｋｍ／ｈや４０ｋｍ／ｈとなったことがある。"
45,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","動力伝達","","アクセルペダルを踏んで加速したいときに勝手にギアがＮになったことがある。"
46,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","制動装置","","何もない所で衝突被害軽減ブレーキのセンサーが検知してアラームが鳴ったことがある。"
47,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","保安灯火","","サイドミラーの向きについて、好みの位置に設定してあったものが勝手に移動してしまう。"
48,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","その他","","エアバランスパッケージのパヒューム　アトマイザーについて、オンに設定していても、再始動で勝手にオフになる。"
49,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","エンジン","","スタートスイッチを２回押さないと始動しなかったことがある。"
50,"2024年12月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2024/10","5AA-223063N","Ｓ５００　４ＭＡＴＩＣ","","256-EM0024","乗車装置","","アクティブマルチコントロールシートバックパッケージについて、急カーブ時にシートが動くはずのところ、動かない。"
51,"2024年12月24日","神奈川県","ＨＰ","アウディ","2016/05","ABA-4HCTFF","アウディ　Ｓ８","71,000 Km","CTF","動力伝達","２０２２年９月","低速時の３速から２速の切り替え時に変速ショックが発生し、一時的駆動力途切れによる急減速とゴッというバルブボディからの異音が出る。"
52,"2024年12月24日","神奈川県","ＨＰ","アウディ","2016/05","ABA-4HCTFF","アウディ　Ｓ８","71,000 Km","CTF","エンジン","２０２２年９月","冷間エンジン始動時、ガラガラ音と強烈なエンジン振動、及び走行時の低速から高速への切り替え時にエンジン振動が出る。"
53,"2024年12月24日","岡山県","ＨＰ","プジョー","2022/12","3DA-P52YH01","３０８","","YH01","エンジン","２０２４年９月４日","走行中に突然エンジンが停止した。レッカーでディーラーに搬送し、確認を受けたところ、燃料タンク内に金属片が見えるので、インジェクターが詰まったのではないかと推定された。"
54,"2024年12月24日","群馬県","ＨＰ","スバル","2009/04","CBA-GRF","インプレッサＷＲＸ","95,000 Km","EJ25","動力伝達","２０２４年１１月頃","一般道路を走行中に車両後部から衝突を受けたような衝撃及び音があり、警告灯が点灯した。"
55,"2024年12月24日","東京都","ＨＰ","","","ZJTA3","ドラッグスター３００","","","その他","不明","総走行距離計がリセットできてしまう。"
56,"2024年12月24日","北海道","ＨＰ","三菱","2024/03","2RG-FDA20","ふそうキャンター","5,300 Km","4P10","保安灯火","","フロントスモールライトソケットが焼損し、スモールライトが点灯しなくなった。"
57,"2024年12月24日","埼玉県","ＨＰ","フォルクスワーゲン","2018/07","ABA-AUCHH","ＶＷゴルフ　ＧＴＩ／１６２ｋＷ","44,000 Km","CHH","動力伝達","購入時から","エコモードで走行後エンジンをオフにして再度エンジンをオンしたとき、ディスカバープロ上では車両がエコモードであることを示す「エコ」の表示がされるが、実際のドライブモードはノーマルモードになっているなど、ドライブモードの制御にバグがある。"
58,"2024年12月24日","大阪府","ＨＰ","メルセデス・ベンツ","2017/01","RBA-205242C","Ｃ２００ステーションワゴン","37,500 Km","274","燃料装置","２０２４年１２月５日","外気温が概ね１０℃以下で冷間時にエンジンをかけると、外気取り込み動作のエアコンを介して、車内に強いガソリン臭が入り込む。"
59,"2024年12月24日","大阪府","ＨＰ","メルセデス・ベンツ","2017/01","RBA-205242C","Ｃ２００ステーションワゴン","37,100 Km","274","保安灯火","２０２４年１１月１日","ウィンドウウォッシャー液を４リットル入れたが、３日後にはウォッシャー液が空になり、ウォッシャー液補充の警告メッセージが出る。この間、左フロントフェンダーよりポタポタ滴下している。"
60,"2024年12月24日","兵庫県","ＨＰ","三菱","2015/04","QPG-FP64VDR","ふそうスーパーグレート","463,084 Km","6R10","排ｶﾞｽ･騒音","２０２４年１２月２３日","３番インジェクターの不良により、ＤＰＦの不具合が発生した。"
61,"2024年12月24日","兵庫県","ＨＰ","三菱","2015/04","QPG-FP64VDR","ふそうスーパーグレート","463,084 Km","6R10","エンジン","２０２４年１２月２３日","テールパイプ、オイルパンのガスケット、ＣＣＶバルブ、エンジンカミシャフトのカムフレームからオイル漏れが発生した。"
62,"2024年12月24日","茨城県","ＨＰ","トヨタ","2022/04","6AA-ZWR95W","ノア","33,000 Km","2ZR-1VM-1WM","乗車装置","２０２４年１２月上旬","助手席側の前席ドアが半ドア状態にもかかわらず、電子キーでドアロックが出来てしまう。"
63,"2024年12月24日","埼玉県","ＨＰ","スズキ","2005/03","LE-DA63T","キャリイ","33,000 Km","K6A","その他","２０２４年１１月","気温が低いとスピードメーターが動かず、メーターパネル内の燃料計・距離計も表示されなくなる。"
64,"2024年12月23日","山形県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2024/07","3BD-S510P","ハイゼット　トラック","","KF","動力伝達","２０２４年１２月","降雪路の坂道で車を止めようと思い、ギアをＰに入れて止めたが、車が動いた。ディーラーで確認したところ、変速機のパーキングロックは作動しているものの、雪面で左右のタイヤが前後に空転してしまっているものと判った。"
65,"2024年12月23日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2023/03","6BA-JF3","Ｎ－ＢＯＸ","","S07B","車枠・車体","","イタチが車室内へ侵入した。車両を確認したところ、タイヤハウス上部に細長い三角のデッドスペースがあり、エンジンルームから当該スペースを通って車室内に入ったものと判ったため、汚損した内装の修理と共に、この経路部に金属網を溶接する補修を行った。"
66,"2024年12月23日","鹿児島県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2017/06","DBA-ZSU60W","ハリアー","100,000 Km","3ZR","動力伝達","","ＣＶＴから異音がするようになった。"
67,"2024年12月23日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","アウディ","2024/08","ZAA-FZEBJ","アウディ　Ｑ４　４０　ｅ―ｔｒｏｎ","","EBJ","電動機(モーター)","２０２４年１２月","走行中に警告音と共に赤い警告灯が点灯し、「電気系統　故障　安全に停止して下さい」というメッセージが表示された。ロードサービスを要請し、ディーラーで確認したところ、バッテリー系統で漏電が発生していると説明があった。"
68,"2024年12月23日","北海道","24時間電話","トヨタ","2011/02","DAA-ZVW30","プリウス","100,000 Km","2ZR-3JM","緩衝装置","２０２４年１２月１８日１７：３０くらい","運転席側後輪ロアアームが根元から折れ、ハの字状態になった。"
69,"2024年12月23日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2024/04","5AA-MK94S","スペーシア","","R06D-WA04C","乗車装置","","後席シートベルトのインジケーターにおいて、乗車していない席であるのに非装着警告が表示されることがある。２ｋｍ程度以上運転して乗降した時に発生する傾向がある。"
70,"2024年12月23日","岐阜県","ＨＰ","ボルボ","2021/03","5AA-UB420TXCM","ボルボ　ＸＣ６０","","B420T2-3330","制動装置","２０２４年１１月１６日７時２８分","交差点で信号待ち中、ブレーキペダルを踏んでいるにも関わらず突然ブレーキが効かなくなり車が動き出した。ブレーキペダルを踏みなおしたがすぐには効かず、何度か踏みなおすと振動とともに効いて停車した。メッセージ画面に「ブレーキ故障」と表示された。"
71,"2024年12月23日","福島県","ＨＰ","ホンダ","2023/02","6AA-FL4","シビックｅ：ＨＥＶ","","LFC-H4","その他","２０２４年１２月中旬","夜間にエアコンを送風又はＡ／Ｃ機能オン状態で走行していると、キーという何か擦れる音が発生する。送風とＡ／Ｃ機能をＯＦＦにすると異音が治まる。日中は送風又はＡ／Ｃ機能オン状態でも異音が発生しない。"
72,"2024年12月23日","宮城県","ＨＰ","スバル","2018/02","DBA-BN9","レガシィ","66,000 Km","FB25","制動装置","２０２４年１０月頃","朝にエンジン始動時にブレーキペダルが固くなっており強く踏み込まない始動できない。ディーラーで点検したところ、マスターバックの不具合と言われた。"
73,"2024年12月22日","愛知県","ＨＰ","フォルクスワーゲン","2020/09","3DA-AUDFG","ゴルフＴＤＩ／１１０ｋＷ","52,554 Km","DFG","電気装置","２０２４年１２月","バッテリーを交換したら安全装備が有効にならなくなった。"
74,"2024年12月22日","東京都","ＨＰ","フォルクスワーゲン","2016/05","DBA-6RCJZ","ＶＷ　ポロ　１．２／６６ｋＷ","50,737 Km","CJZ","動力伝達","２０２２年９月２２日","ドライブシャフトが外れて走行困難となり縁石に接触した。"
75,"2024年12月22日","大分県","ＨＰ","マツダ","2023/08","3CA-KH3R3P","ＣＸ－６０","19,000 Km","T3-MR","制動装置","２０２４年８月くらいから","ＭＲＣＣ（全車速追従型クルーズコントロール）を使用時、前車が停止しても自車が停止しない。"
76,"2024年12月22日","愛知県","ＨＰ","スバル","2014/10","DBA-VM4","レヴォーグ","66,080 Km","FB16","保安灯火","２０２２年頃","運転席ドアガラスのＵＶカットコーティングが劣化し視界不良になってきている。"
77,"2024年12月22日","東京都","ＨＰ","スズキ","2015/06","DBA-MA15S","ソリオ","48,000 Km","K12B","動力伝達","２０２４年１２月２２日","運転中にＣＶＴ警告灯が点灯している事に気づいた。翌日も警告灯が点灯しており、３～５ｋｍほど走行したところから、ギアチェンジのタイミングで甲高い音がするようになり、ノッキングの症状が出た。走行に危険を感じたため、ディーラーへそのまま持ち込んだ。"
78,"2024年12月21日","福岡県","ＨＰ","日野","2021/01","2KG-FD2ABG","日野レンジャー","313,885 Km","A05C","保安灯火","２０２４年９月２７日","左右ヘッドライト光軸振れのため、ヘッドライトを点検したところ、内部のリフレクターがガタついていた。"
79,"2024年12月21日","京都府","ＨＰ","ルノー","2023/09","7DA-KFKK9K","カングー","","K9K","その他","２０２３年９月","純正ディスプレイオーディオのｃａｒｐｌａｙがよく切れる。"
80,"2024年12月21日","京都府","ＨＰ","ルノー","2023/09","7DA-KFKK9K","カングー","","K9K","その他","２０２４年４月","クルーズコントロール使用中にセンサー異常の表示とともにクルーズコントロールが無効化されることがある。エンジン再始動でエラーが消えることが多い。"
81,"2024年12月21日","東京都","ＨＰ","アウディ","2024/06","3AA-F3DFY","アウディ　Ｑ３　３５Ｔ","","DFY-4450","保安灯火","２０２４年８月２６日","左ドアミラーが日の経過とともに角度が下向きに自然に下がってしまうため、週に一度ほど調整が必要となる。"
82,"2024年12月21日","大阪府","ＨＰ","トヨタ","2017/08","LDA-GDJ150W","ランドクルーザープラド","245,859 Km","1DG","動力伝達","","トランスミッションの不良により、走行中に動力が伝達されなくなり、停車した。セレクトレバーを操作するも反応がなく、リバースのみ動いたのでバックにて路肩に退避した。"
83,"2024年12月20日","奈良県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2015/02","HBD-DA17V","エブリイ","135,200 Km","R06A","動力伝達","２０２４年１２月１８日","ブレーキを踏むとエンスト繰り返した。Ｄに入らないでＮが点滅していた。"
84,"2024年12月20日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2024/01","6AA-RZ6","ＺＲ－Ｖ","","LFC-H4","乗車装置","購入まもなくから","キーフリーシステム搭載車で、リモコンを持っていてもドアがアンロックされないことがある。ドアロック開閉でドアミラーも開閉する機能付きであるが、ミラーも動かないことがある。"
85,"2024年12月20日","秋田県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2019/07","2DG-FS1AGA","日野プロフィア","200,000 Km","A09C","エンジン","走行距離１６万ｋｍ時に発見","冷却水は外部に漏れている形跡は無いもののサブタンクの液量が減っている。"
86,"2024年12月20日","北海道","ＨＰ","ニッサン","2024/09","6AA-SNT33","エクストレイル","400 Km","KR15-BM46-MM48","電気装置","２０２４年１１月１４日","マルチセンシングフロントカメラ前のフロントガラス内側が凍結、及び曇りにより動作不良になる。フロントガラスを拭くようにメッセージが出るが、構造上その部位にアプローチできない。またデフロスターの風が届きにくい構造であるため、フロントガラス内側の他の部分の凍結や曇りは５分程度で解消するのに対し、３０分以上経過しても解除されない。"
87,"2024年12月20日","北海道","ＨＰ","ニッサン","2024/09","6AA-SNT33","エクストレイル","500 Km","KR15-BM46-MM48","エンジン","２０２４年１１月２８日","ニッサンコネクトの乗る前エアコン機能（エンジン始動）に失敗してしまう。"
88,"2024年12月20日","群馬県","ＨＰ","三菱","2000/01","KG-FB51AB","ふそうキャンターガッツ","38,000 Km","4M40","その他","２０２４年１０月","スピードメーターが動かなくなった。"
89,"2024年12月20日","和歌山県","ＨＰ","トヨタ","2018/01","DBA-M900A","ルーミー","59,000 Km","1KR","動力伝達","２０２４年１２月","坂道で急加速、急発進をすると左タイヤ付近にダダダと空回りするような振動が起こる。"
90,"2024年12月20日","栃木県","ＨＰ","ボルボ","2016/05","LDA-FD4204T","ボルボ　Ｖ６０","84,200 Km","D4204T","乗車装置","２０２４年１２月１４日","ドアをきちんと閉めてから発進したにも関わらず、走行中にドアが開いた。"
91,"2024年12月20日","兵庫県","ＨＰ","マツダ","2018/06","6BA-GJEFW","アテンザ","60,000 Km","PE","乗車装置","半年ぐらい前","助手席側後部座席のシートベルトが出たまま戻らない状態になった。"
92,"2024年12月19日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","シトロエン","2022/04","3DA-K9CYH01","ベルランゴ","23,000 Km","YH01","エンジン","２０２４年１０月","走行中にタイミングチェーンが切れて、走行不能になった。"
93,"2024年12月19日","新潟県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","3BA-JB64W","ジムニー","","R06A","保安灯火","","国４９４２（前後面ガラス）のリコール措置を済ませた車で前面ガラスから水漏れが発生した。"
94,"2024年12月19日","福島県","ﾌﾘｰﾀﾞｲｱﾙ","ボルボ","2013/09","DBA-FB4164T","ボルボ　Ｖ６０","89,000 Km","B4164T","乗車装置","","運転席と運転席側後席ドアが走行中に勝手に開き、閉まらなくなった。後席ドアが開いた際は、高速道路の加速車線走行中で、路上に後席に載せていた荷物をばらまいてしまった。"
95,"2024年12月19日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2007/02","CBA-Z33","フェアレディＺ","105,000 Km","VQ35","動力伝達","","国１９９８（クラッチ）のリコールを済ませている車で、クラッチのシリンダーが故障し、クラッチペダルが戻らなくなった。一度部品交換を行ったが、１年、６～８千ｋｍの使用で再発した。"
96,"2024年12月19日","千葉県","ＨＰ","レクサス","2023/03","6LA-AAZH26","ＮＸ４５０ｈ＋","6,000 Km","A25A-5NM-4NM","電気装置","２０２４年１１月～１２月","バッテリーへの充電が不足している様でハイブリッドシステムが起動できなくなった。"
