番号,受付日,住所,申告方法,車名,通称名,初度登録年月,総走行距離,型式,原動機型式,不具合装置,発生時期,申告内容の要約
22,2020年05月29日,不明,電話,その他,ブレイズＥＶトライク,2020年05月,不明,不明,不明,緩衝装置,購入してすぐ,サスペンションと車体が当たる。
23,2020年05月29日,不明,電話,その他,ブレイズＥＶトライク,不明,不明,不明,不明,その他,不明,電源オンで距離計が０表示になる。
24,2020年05月28日,宮城,ＨＰ,アウディ,Ａ４,2013年02月,"55,000 Km",DBA-8KCDNF,CDN,車枠・車体,２０２０年５月２３日,電動パーキングブレーキスイッチの金属部分が一部剥がれ、接触する鋭利な部分で中指を裂傷した。
25,2020年05月28日,神奈川,ＨＰ,スバル,ＷＲＸ　ＳＴｉ,2011年11月,"53,000 Km",CBA-GVF,EJ25,制動装置,２０２０年３月,ブレーキマスターバックの負圧漏れにより、朝一でのエンジン始動の際、ブレーキペダルの踏み込みが異常に重い。
26,2020年05月28日,埼玉,ＨＰ,トヨタ,８６,2013年03月,"31,000 Km",DBA-ZN6,FA20,電気装置,購入後１ヶ月くらい、その後１５００ｋｍ走,バックランプスイッチが戻らなくなり、ブザーとバックランプが消えない。スイッチを交換してもそのスイッチも短期間に戻らなくなる。
27,2020年05月28日,静岡,電話,組立,フルトレーラ,2007年11月,不明,組立,不明,車枠・車体,不明,茶摘み機を搭載して走行中、連結部付近の車枠が折損した。
28,2020年05月28日,滋賀,ＨＰ,ボルボ,Ｖ６０,2011年12月,"56,094 Km",DBA-FB4164T,B4164,動力伝達,２０２０年５月,トランスミッションセイノウテイカの異常表示が出て、ギアが上がらなくなった。
29,2020年05月28日,宮崎,ＨＰ,ダイハツ,アトレーワゴン,2009年04月,"108,770 Km",ABA-S321G,KF,制動装置,２０２０年４月と２０２０年５月,エンジンを始動して２～３分の通勤経路の一旦停止の所で、いつものようにブレーキペダルを踏んだところ、ブレーキの効きが悪く、同時にエンジンの回転数が上がり、アクセルペダルをいっぱい踏み込んだような症状になった。
30,2020年05月28日,沖縄,ＨＰ,スズキ,スペーシアカスタムＸＳターボ,2018年06月,"28,000 Km",DAA-MK53S,R06A-WA05A,動力伝達,購入当初から,発進する際に、ゆっくり発進するとガクッとマニュアルのギア変速を失敗したかのような振動が起きる。
31,2020年05月27日,北海道,電話,三菱,ミニキャブバン,2012年05月,"130,000 Km",GBD-U62V,3G83,車枠・車体,２０２０年３月,ヘッドライト接続部分からの雨漏りにより、室内が水たまりになった。
32,2020年05月27日,山形,ＨＰ,スバル,フォレスター,2014年02月,"40,000 Km",DBA-SJ5,FB20,制動装置,車を２、３日放置後,ブレーキマスターバックの気密不良により、ブレーキペダルが固く踏めなくなり、エンジンが始動出来なくなった。
33,2020年05月27日,千葉,24時間電話,三菱,パジェロミニ,2004年03月,"139,000 Km",TA-H58A,4A30,エンジン,不明,ラジエーターのファンモーターが回らなくなったため、走行中にエンジンから発煙した。
34,2020年05月26日,北海道,電話,トヨタ,ランドクルーザー８０,不明,不明,S-HDJ81V,不明,エンジン,２０２０年５月２２日,セルスイッチの接点溶着によりセルモーターが止まらなくなった。
35,2020年05月26日,神奈川,ＨＰ,アウディ,Ａ３スポーツバック,2011年10月,"58,000 Km",DBA-8PCAX,CAX,動力伝達,２０１９年２月,ＤＳＧメカトロニクス不良により、通常走行中、メーターパネル内のギアシフトインジケーター文字が点滅した。
36,2020年05月26日,神奈川,ＨＰ,アウディ,Ａ３スポーツバック,2011年10月,"58,000 Km",DBA-8PCAX,CAX,保安灯火,２０１９年５月２９日,灯火類がフューズ類、電球の断線もないのに突然正常に点灯しなくなった。
37,2020年05月26日,千葉,ＨＰ,ポルシェ,パナメーラ,2012年02月,"78,000 Km",-970M46-,M46,エンジン,２０２０年４月５日,一般道路を走行中、エンジン異音発生後、エンジンが停止し、再始動不能になった。
38,2020年05月26日,群馬,ＨＰ,スズキ,アルトワークス,不明,"120,000 Km",GF-HA22S,K6A,乗車装置,２０２０年５月２６日,ＳＲＳエアバック警告灯の点灯したため、慎重にハンドルを取り外していたら、ケースから配線がぐしゃぐしゃの状態で配線が飛び出た。
39,2020年05月26日,栃木,ＨＰ,トヨタ,ハイエース,2014年07月,"95,000 Km",CBF-TRH228B 改,2TR,保安灯火,２０１９年８月,３ヶ所あるスライド窓全てから雨漏りが発生し、車内が広範囲に濡れる。
40,2020年05月26日,岐阜,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2015年10月,"31,000 Km",DBA-JF1,S07A,乗車装置,２０２０年５月,停車時にスライドドアの操作をしていないにもかかわらず勝手にスライドドアが開いた。
41,2020年05月26日,大阪,ＨＰ,ホンダ,ライフ,2006年06月,"74,600 Km",DBA-JB5,P07A,エンジン,２０２０年５月２６日,高速道路を走行中にエンジンが停止し、惰性で路肩に流れ着いた。
42,2020年05月26日,兵庫,電話,ホンダ,ＳＨＵＴＴＬＥハイブリッド,不明,"30,000 Km",DAA-GP7,不明,エンジン,購入３年目あたりから,スタートスイッチを押してハイブリッドシステム起動と同時に「Ｈｏｎｄａスマートキーシステム点検」と警告表示が出る。
43,2020年05月25日,神奈川,ＨＰ,ホンダ,フィット,2011年02月,"118,000 Km",DBA-GE6,L13A,エンジン,２０２０年１月,エンジンオイル交換は半年に１回実施していたが、走行中に油圧警告灯が点灯した。クリーニング後もオイル消費が激しく状況が改善しない。
44,2020年05月25日,埼玉,ＨＰ,アウディ,Ｓ４セダン,2009年12月,"80,800 Km",ABA-8KCAKF,CAK,動力伝達,２０２０年４月,信号で停車中にエンジンが振れ、ギアボックスの故障警告灯（歯車のマーク？！）が点灯した。走行は出来るが、クラッチが滑っている感じになった。
45,2020年05月25日,静岡,ＨＰ,ボルボ,Ｖ６０　Ｔ８,2019年07月,不明,5LA-ZB420P,B420-T28-AD2,動力伝達,２０１９年８月１０月６日、７日、２０２０,走行中、ガクンとなり、亀のマークと「メーカーに連絡してください」という表示が出る。横に避けるとエンジンが掛からなくなってしまう。
46,2020年05月25日,大分,電話,日野,プロフィア,2015年12月,"592,700 Km",QPG-SH1EDDG,E13C,排ｶﾞｽ･騒音,２０１９年１２月,ＤＰＲ（粒子状物質除去装置）が２年ほど毎にすぐ悪くなる。
47,2020年05月24日,千葉,ＨＰ,スバル,レガシィ,2012年04月,"47,500 Km",DBA-BRM,FB25,エンジン,２０１９年１２月,アイドリングストップ後、再始動不能になる。
48,2020年05月24日,茨城,ＨＰ,三菱,アイ,2007年06月,"129,000 Km",CBA-HA1W,3B20,動力伝達,数年前から,トランスミッションが３速固定になってしまった。４速に切り替わらないので、走行後はエンジンが高温となり、危険を感じている。
49,2020年05月24日,栃木,ＨＰ,マツダ,アテンザ　セダン,2013年09月,"90,400 Km",LDA-GJ2FP,SH,エンジン,２０２０年５月２１日,一般道路走行中、アクセルペダルを踏んでも加速しなくなった。（３０ｋｍ／ｈ前後以上出ない）
50,2020年05月24日,愛知,ＨＰ,アウディ,Ａ５スポーツバック,2009年12月,"67,438 Km",ABA-8TCDNL,CDN,エンジン,２０２０年５月,エンジンオイルがユーザーズマニュアルに記載のペースよりはるかに早く消費される。８５０ｋｍで１Ｌの消費により、エンジンオイル警告灯が点灯した。
51,2020年05月24日,愛知,ＨＰ,スズキ,スペーシア,2018年02月,不明,DAA-MK53S,R06A-WA05A,エンジン,２０２０年２月,１年点検でエンジンからオイルにじみが発生した。
52,2020年05月24日,兵庫,ＨＰ,ニッサン,デイズルークス,2014年12月,"65,000 Km",DBA-B21A,3B20,保安灯火,２０２０年５月,助手席側のドアミラーが閉じたまま開かなくなった。
53,2020年05月24日,和歌山,ＨＰ,日野,日野レンジャー,2013年02月,"370,000 Km",LDG-FG8JPAA,JO8E,エンジン,エンジン始動５分くらい,エンジン回転が１２００回転位のところでエンジンが吹けないで、かぶったようになる。
54,2020年05月24日,岡山,ＨＰ,ＢＭＷ,Ｘ３,2020年02月,580 Km,LDA-TX20,B47D20A,その他,２０２０年５月２３日,走行中にナビ画面がブラックアウトした。エンジン再起動で復旧した。
55,2020年05月24日,岡山,ＨＰ,ＢＭＷ,Ｘ３,2020年02月,550 Km,LDA-TX20,B47D20A,乗車装置,２０２０年４月,テールゲートが意図せずに開く。
56,2020年05月23日,千葉,ＨＰ,メルセデス・ベンツ,Ｅ３５０ブルーテック,2011年09月,"90,800 Km",LDA-212024C,642,排ｶﾞｽ･騒音,２０１６年１２月、２０２０年４月,ＮＯｘセンサーの不良により、エンジン始動後にエンジンチェックランプが点灯した。
57,2020年05月23日,千葉,ＨＰ,メルセデス・ベンツ,Ｅ３５０ブルーテック,2011年09月,"90,800 Km",LDA-212024C,642,排ｶﾞｽ･騒音,２０１９年５月,アドブルーヒーターの不良により、走行中にエンジンチェックランプが点灯した。
58,2020年05月22日,北海道,ＨＰ,ニッサン,ルークス,2011年06月,"58,500 Km",CBA-ML21S,K6A,かじ取り,２０２０年５月２１日,ハンドルロックユニットの不具合により、エンジンのプッシュボタンを押してもセルが回らず、エンジンがかからない。鍵マークが点灯していた。
59,2020年05月22日,東京,ＨＰ,ＢＭＷ,ミニクーパーＳ,2016年06月,"69,200 Km",DBA-XM20,B48A20A,エンジン,２０２０年３月,段差を乗り越える時に足回りから「パキッ」という破壊音のような音が聞こえてきた。その後、連続する段差を通過する際に「ドンドン、カンカン」という音とに激しい振動が車体前部よりしはじめた。１２か月点検を受けたところ、運転席側のエンジンマウントが完全に破損し、振動によりエンジン本体の固定がされず激しく動いて音がしていたことが判明した。
60,2020年05月22日,神奈川,ＨＰ,ジャガー,Ｅ－ＰＡＣＥ,2018年11月,"12,000 Km",LDA-DF2NA,204DT,排ｶﾞｽ･騒音,２０１９年１月,排気フィルターの目詰まりにより、車内に排気ガスがエアコンを通じて入ってくる。
61,2020年05月22日,愛知,ＨＰ,ホンダ,Ｎ－ＢＯＸ,2013年06月,"67,446 Km",DBA-JF1,S07A,エンジン,２０２０年５月２２日,車検の点検時に、シリンダヘッドからのオイル漏れを指摘された。
62,2020年05月22日,兵庫,ＨＰ,アウディ,Ａ５,2010年11月,"58,400 Km",ABA-8TCDNL,CDN,車枠・車体,２０２０年５月,助手席の乗員が、車内からドアを開けるためのレバーを触った時、金属がめくれ上がってる部分で手を切って出血した。
63,2020年05月22日,福岡,ＨＰ,ダイハツ,コペン,2014年10月,"49,600 Km",DBA-LA400K,KF,車枠・車体,２０１９年　１１月,燃料給油口の蓋が、レバーを引いても開かなくなった。
64,2020年05月22日,福岡,ＨＰ,ダイハツ,コペン,2014年10月,"49,600 Km",DBA-LA400K,KF,保安灯火,２０２０年１月,ドアを閉める際、窓ガラスが一定場所で止まらず上がりすぎるため、ルーフに当たって閉まる。
65,2020年05月22日,鹿児島,ＨＰ,スズキ,スペーシアカスタム　ターボ,2018年09月,"9,381 Km",DAA-MK53S,R06A-WA05A,エンジン,朝夕問わず,エンジンスタートボタンを一度押してもセルモーターが５秒以上回らないとエンジンがかからない症状が度々起きる。
66,2020年05月21日,北海道,ＨＰ,ボルボ,ＸＣ９０,2016年05月,不明,DBA-LB420XC,B420,車枠・車体,２０２０年４月以前,ドアノブを開け閉めしてるとその部分の塗装が剥げて錆が出ていた。一番開け閉めの多い運転席は一番ひどく、塗装内部まで錆が進行していた。
67,2020年05月21日,北海道,ＨＰ,ニッサン,デイズルークス,2016年04月,"44,465 Km",DBA-B21A,3B20,保安灯火,２０２０年５月２１日,左のミラーが突然開閉しなくなり　モーター音だけ聞こえる状態になった。
68,2020年05月21日,北海道,ＨＰ,トヨタ,ランドクルーザープラド,2008年07月,"55,000 Km",CBA-TRJ120W,2TR,車枠・車体,２０２０年,ホワイトパール塗装の車で、塗装が浮いて剥がれてきた。
69,2020年05月21日,神奈川,電話,三菱,ふそう,不明,不明,不明,不明,排ｶﾞｽ･騒音,３年で２０回,排ガス減少装置の不具合が３年で２０回起きた。
70,2020年05月21日,埼玉,24時間電話,メルセデス・ベンツ,ＣＬＳ２５０,不明,不明,不明,不明,その他,不明,カーナビが直線であるにも関わらず、右や左カーブだと案内したり、テレビが突然切れて真っ暗になる。
71,2020年05月21日,茨城,ＨＰ,三菱,ふそうスーパーグレート,2018年09月,"55,335 Km",2RG-FR74HDR,6R20,制動装置,２０２０年２月７日,積み込みが終わり、エンジンをかけて帰る時に過労で気を失い、桜の木に衝突してのり面でとまった。その時、衝突安全装置が作動しなかった。
72,2020年05月21日,不明,電話,トヨタ,クラウン,不明,不明,DBA-GRS180,不明,車枠・車体,不明,走行中に床下から異音がする。
73,2020年05月20日,北海道,ＨＰ,ホンダ,ＶＥＺＥＬハイブリッド,2014年03月,"50,000 Km",DAA-RU4,LEB-H1,緩衝装置,２０１９年６月,フロントストラットを脱着分解時に、アッパスプリングシートが異常な腐れ方をしていることを発見した。
74,2020年05月20日,神奈川,ＨＰ,トヨタ,アクア,2014年03月,"73,800 Km",DAA-NHP10,1NZ-1LM,乗車装置,２０２０年４月,助手席ドアロックアクチュエーターの故障により、ドアロックが電動で開閉できなくなった。
75,2020年05月20日,埼玉,24時間電話,ニッサン,ルークス,2013年03月,"39,100 Km",DBA-ML21S,K6A,エンジン,不明,プッシュスタートを押してもエンジンがかからない。
76,2020年05月20日,静岡,ＨＰ,ホンダ,オデッセイ,2016年10月,"46,204 Km",DBA-RC1,K24W,緩衝装置,不明,車検の点検中に前輪ロワボ－ルジョイントブ－ツ、タイロッドエンドブーツが全て破損しているのを確認した。
77,2020年05月20日,静岡,ＨＰ,トヨタ,パッソ,2010年05月,"59,600 Km",DBA-KGC30,1KR,制動装置,不明,ＡＢＳユニットの不良により、ブレ－キペタルを床まで踏み込んだが、停車出来なかった。
78,2020年05月20日,大阪,ＨＰ,トヨタオートボデー,コムス,2012年07月,"6,440 Km",TAC30,不明,電動機(モーター),２０２０年５月４日,信号待ちからの発進直後、警告音（連続）が鳴ると同時に動力消失した。路上にて緊急停車し再始動不可になった。
79,2020年05月20日,京都,ＨＰ,ホンダ,ＰＣＸ１５０,2018年08月,"11,000 Km",KF30,不明,動力伝達,２０２０年５月,エンジンを動かした状態で信号待ちで停車したり、センタースタンドを立ててリアタイヤの動きを止めたとき、後輪軸周辺から「ガー」「シャー」といった異音がする。また、エンジン停止状態でリアタイヤを手で回転させてみると「シャー」といった音がするが、その音が新車購入時よりも大きくなっている。
80,2020年05月20日,兵庫,ＨＰ,フォルクスワーゲン,ポロＴＳＩ,2011年04月,"72,600 Km",DBA-6RCBZ,CBZ,エンジン,２０２０年４月,冷間始動時にエンジンから異音が発生し、その後、タイミングチェーンの伸びによって、エンジン始動不能となり、エンジンを乗せかえた。
81,2020年05月19日,北海道,ＨＰ,ＢＭＷ,ミニクロスオーバー,不明,"50,000 Km",LDA-XD20A,N47C20A,エンジン,２０２０年２月２７日、３月１７日、４月９,タイミングチェーンベルトが切れ、エンジンが破損した。
82,2020年05月19日,福島,ＨＰ,ダイハツ,コペン,2002年08月,"72,025 Km",LA-L880K,JB,動力伝達,不明,走行中に衝撃があり、ＡＴのポジションランプが点滅する（併せてエンジン警告灯がつくこともある）。走行はできるがＡＴが１速と３速しか入らなくなる。
83,2020年05月19日,埼玉,ＨＰ,ニッサン,ノートｅ－ＰＯＷＥＲ,2019年07月,"8,500 Km",DAA-HE12,HR12-EM57,エンジン,２０２０年４月１２日,店の駐車場に停止しようと右折してブレーキを踏もうと思っていた時に、異常なエンジン音とともに急加速したため、車止めを乗り越えてブロック塀に衝突した。
84,2020年05月19日,茨城,ＨＰ,トヨタ,アクア,2012年11月,"47,600 Km",DAA-NHP10,1NZ-1LM,保安灯火,去年からと今年から,テールランプに水が溜まる。右が去年の１１月に修理、今年の５月に今度は左にも水が溜まっている状態になった。
85,2020年05月19日,群馬,ＨＰ,スバル,インプレッサ　ｓ２０４,2006年02月,"21,000 Km",GH-GDB,EJ20,エンジン,２０２０年５月１２日,オイルクーラーホースについて２度のリコール対策済みの車で、走行中にオイルクーラーのホースが抜けた。
86,2020年05月19日,愛知,ＨＰ,プジョー,３０８,2015年12月,"13,000 Km",ABA-T9HN02,HN02,排ｶﾞｽ･騒音,２０１９年１０月,燃料タンクとキャニスターラインの結合部にあるバルブの不具合により、走行中にノッキングを起こし、信号待ちでエンストを起こす。
87,2020年05月19日,愛知,ＨＰ,三菱,ふそうキャンター,2013年07月,"109,992 Km",TKG-FEA20,4P10,エンジン,２０２０年５月,車両暖機中に、突然エンジンが吹け上がり、エンジンキーを抜いてもエンジンが止まらず、エンジンが破損した。
88,2020年05月18日,宮城,ＨＰ,三菱,ふそうキャンター,2013年01月,"63,000 Km",TKG-FBA30,4P10,燃料装置,２０２０年５月１６日,朝、普通に始動できて、工事現場でエンジンを止めたら再始動不能になった。燃料タンクに付いている燃料ポンプのコネクターを点検したところ、内部が炎損して端子が焦げ、カプラー部分も溶けていた。
89,2020年05月18日,福島,ＨＰ,スバル,エクシーガ,2008年07月,"100,000 Km",CBA-YA5,EJ20,動力伝達,６年前ぐらいから年に数回。今年の２月頃か,２～３速の変速時に、追突されたような強い衝撃が発生し、ＡＴ　ＯＩＬＴＥＭＰ警告灯が点灯する。
90,2020年05月18日,岩手,ＨＰ,ニッサン,セレナ,2017年09月,"31,500 Km",DAA-GFNC27,MR20-SM24,緩衝装置,リヤショックからのオイル漏れ（左右）,タイヤ交換でジャッキアップした際に、左右のリヤショックアブソーバ本体からのオイル漏れを確認した。
91,2020年05月18日,長野,ＨＰ,ニッサン,ティアナ,2015年05月,"95,000 Km",DBA-L33,QR25,動力伝達,２０２０年４月２８日,平坦な道路を走行中にガクンと数回音が鳴り、停車したところシフトが変更できなくなり、後退することもできなくなった。
92,2020年05月18日,東京,ＨＰ,フォルクスワーゲン,パサートヴァリアント１．４　Ｔ,2012年03月,"100,000 Km",DBA-3CCAX,CAX,電気装置,２０１７年以降,各車輪のスピードセンサーが故障したため、ＥＳＰ故障マークが点灯した。取り急ぎ停車後、エンジンを切り再起動したところ、ＥＳＰ、タイヤ空気圧、ＡＢＳ、パーキングブレーキなど、警告ランプが６つ点灯し、オートホールディングも効かなくなった。
93,2020年05月18日,大阪,ＨＰ,フォルクスワーゲン,ザ・ビートル,2013年02月,"130,000 Km",DBA-16CBZ,CBZ,燃料装置,２０２０年５月１７日,エンジンルーム内の燃料ポンプから燃料が漏れた。
94,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,乗車装置,２０１７年１２月,ドアハンドルロック解除タッチセンサーの不良により、運転席ドアが反応しにくくなった。その後、順次他のドアも反応しなくなり、タッチにより解錠、施錠ができなくなった。
95,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,乗車装置,２０１７年８月,右後席ドア内部の部品が落下し、走行時の振動で異音が出るようになった。
96,2020年05月18日,滋賀,ＨＰ,ランドローバー,イヴォーク,2014年03月,"93,000 Km",CBA-LV2A,204PT,動力伝達,２０２０年５月１６日,ギヤシフトモジュールの不良により、エンジン始動後、突然“ギヤボックス　イジョウ”の表示が出てギヤが入らなくなり、車が動かなくなった。
97,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,保安灯火,２０１５年４月から現在まで,右側ドアミラーの鏡部分だけ接着剤の劣化により落下した。１ヶ月後、左側ドアミラーの鏡部分が合流での加速時に落下した。
98,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,エンジン,２０１５年４月から１年間程度,中古車で購入後、約３０００ｋｍでエンジンオイルが消費し、高速道路走行中にオイル量不足の警告灯が点灯した。その後、約３ヶ月毎に警告灯が点灯し、毎回補充していた。
99,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,乗車装置,２０２０年３月,リアハッチ開閉途中に異音と共にリアガラスが突如粉砕した。ダンパーを見たところ、受け部が砕けており、ガラスを突き破っていた。
100,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,エンジン,２０１９年８月,イグニッションコイルの故障により、走行中にＥＰＣが作動し、異常振動と出力低下に至った。
101,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,保安灯火,２０２０年４月,左側のヘッドライトウォッシャーのヘッド部が経年劣化で破折した。
102,2020年05月18日,滋賀,ＨＰ,アウディ,Ａ５スポーツバック,2011年03月,"92,000 Km",ABA-8TCDNL,CDN,保安灯火,２０１８年４月,両側のヘッドライトカバーが経年劣化により変色した。
103,2020年05月18日,広島,ＨＰ,ホンダ,ＳＨＵＴＴＬＥハイブリッド,2015年09月,"84,125 Km",DAA-GP7,LEB-H1,エンジン,２０１９年１０月,スタートスイッチを押してハイブリッドシステム起動と同時に「Ｈｏｎｄａスマートキーシステム点検」と警告表示が出た。
104,2020年05月17日,北海道,ＨＰ,マツダ,ＣＸ－５,2013年06月,"117,996 Km",LDA-KE2AW,SH,エンジン,２０２０年４月５日,オイル交換時期表示を設定したにも関わらず、設定時期を過ぎても表示されなかったため、ディーラーで確認を受けたところ、オイル交換時期の設定はされていたが、表示されないように勝手に設定が変わっていたことが判った。
105,2020年05月17日,北海道,ＨＰ,ジープ,レネゲードトレイルホーク,2016年09月,"59,700 Km",ABA-BU24,6,エンジン,２ヶ月前頃,ラジエータークーリング電動ファンの不良により、停車するとカラカラと甲高い音が鳴り、そのうちに走行していても音がエンジンルームからも聞こえるようになった。
106,2020年05月17日,福島,ＨＰ,ＢＭＷ,３２０ｄ,2016年10月,"28,000 Km",LDA-8C20,B47D20A,乗車装置,２０２０年５月１５日,信号停車のため、減速して後方を確認したところ、バックドアが開いていた。バックドア開閉マーク周知音はなかった。
107,2020年05月17日,埼玉,ＨＰ,トヨタ,ハリアーハイブリッド,2008年07月,"86,100 Km",DAA-MHU38W,3MZ-1JM-2FM,エンジン,２０２０年５月,ラジエーターの樹脂部分に亀裂が生じ、冷却水が漏れた。
108,2020年05月17日,茨城,ＨＰ,ニッサン,セレナ,2014年01月,"51,000 Km",DAA-HFC26,MR20-SM23,電気装置,２０２０年４月頃,オルタネータープーリー部の劣化により、エンジン始動時や回転数が上がったときにエンジン部分から高音の唸るような音がする。
109,2020年05月17日,兵庫,ＨＰ,トヨタ,Ｃ－ＨＲ,2017年02月,"14,000 Km",DAA-ZYX10,2ZR-1NM,保安灯火,不明,前後左右ライトレンズ内部に塗料の液ダレが多数発生した。
