番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
12,"2024年06月29日","愛知県","ＨＰ","マツダ","2019/11","5BA-DMEP","ＣＸ－３０","26,000 Km","PE","乗車装置","２０２４年６月２２日","運転席側後席のシートベルトが緩んでいたためシートベルトを引き出したら、そのまま戻らなかった。"
13,"2024年06月28日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2018/02","DBA-ZC13S","スイフト","12,200 Km","K10C","車枠・車体","","左右ドアから水が浸入する。整備工場で内張のビニール部のブチルテープの補修などを繰り返しているが、解消しない。"
14,"2024年06月28日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2011/01","LKG-FP54VDR","ふそうスーパーグレート","851,600 Km","6R10","エンジン","","ラジエーターのアッパータンクから冷却水が漏れた。"
15,"2024年06月28日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2011/01","LKG-FP54VDR","ふそうスーパーグレート","851,600 Km","6R10","その他","","エアコンプレッサーが早期に破損する。"
16,"2024年06月28日","京都府","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2010/08","CBA-L175S","ムーヴ","190,000 Km","KF","走行装置","２０２４年６月２７日","駐車場で車を止めようとしていたところ、リヤホーシングが溶接の付け根から折損し、タイヤがフェンダーにめり込むような状態になり走行不能になった。"
17,"2024年06月28日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサンＭＴ","2023/03","6AA-RP15","キックス","","HR12-EM47","走行装置","２０２３年５月２１日","高速道路を走行中に「システム故障　販売店へ連絡」という表示が出て警告音が鳴った。ディーラーで確認をした結果、右前タイヤの回転計測不良という診断で関連部品の交換を行った。"
18,"2024年06月28日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサンＭＴ","2023/03","6AA-RP15","キックス","","HR12-EM47","電気装置","２０２３年５月２１日","３車線道路を走行中、「システム故障」の表示と警告音が出ると共にブレーキがかかり、エンジンも停止した。停車後、再始動を試したが復旧せず、レッカー搬送をした。"
19,"2024年06月28日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサンＭＴ","2023/03","6AA-RP15","キックス","","HR12-EM47","電気装置","２０２３年５月２１日","隣の車線を車が通ると、特に危険が無いのにセンサーが反応し、警報が出る。ディーラーで「センサー異常」と診断されている。"
20,"2024年06月28日","北海道","ＨＰ","ニッサン","2019/08","EBD-DR16T","ＮＴ１００　クリッパー","68,000 Km","R06A","乗車装置","２０２４年６月２４日","運転席シートと土台鉄板をとめているボルト部分の鉄板に亀裂がありボルト部分が抜けてしまった。"
21,"2024年06月28日","広島県","ＨＰ","トヨタ","","-","ハリアー","","","保安灯火","２０２４年６月２０日","走行中にフロントガラスが割れた。"
22,"2024年06月28日","愛媛県","ＨＰ","ニッサンＭＴ","2016/06","DBA-K13","マーチ","52,000 Km","HR12","動力伝達","４万ｋｍ台","７０ｋｍ／ｈ前後の走行時にキュイッという音と減速感が発生し、アクセルペダルを踏んでも進みにくさと、変速タイミングでのショックが出始めた。ディーラーで確認し、ＣＶＴ交換が必要と診断された。"
23,"2024年06月28日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","100 Km","TZ155XTY2201","乗車装置","２０２３年８月上旬","戸閉検知スイッチの高さ不良により、ドアと戸閉検知スイッチが接触せず、走行中に戸開検知状態となり、警報音の鳴動と、メーターパネルに警告メッセージが表示された。"
24,"2024年06月28日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","15,000 Km","TZ155XTY2201","乗車装置","２０２３年８月上旬","助手席側の荷室スライドドアにおいて、走行中に戸開検知となる現象が発生した。"
25,"2024年06月28日","東京都","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","","TZ155XTY2201","制動装置","２０２４年６月５日","停車しようとしたところ、ブレーキがかからず前方車両に衝突した。"
26,"2024年06月27日","石川県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2024/03","3BA-AGH40W","アルファード","","2AR","走行装置","","納車された車両に装着されていたタイヤに２００～３００ｃｃの水が入っていた。また、現品はＴＯＹＯタイヤであったが、メーカーに問い合わせたところ、ヨコハマタイヤが装着されているべき車だという回答があった。"
27,"2024年06月27日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2018/06","QPG-SH1EDDG","プロフィア","505,800 Km","E13C","燃料装置","２０２４年","燃料サプライポンプの不良により高速道路を走行中にエンジンが停止し、走行不能になった。自社工場で検査した結果、燃料サプライポンプの不良と判った。"
28,"2024年06月27日","山口県","ＨＰ","ＢＭＷ","2017/10","DBA-8E15","ＢＭＷ　３１８ｉ","38,100 Km","B38B15A","保安灯火","２０２４年３月頃","左右のヘッドライトカバー内に水漏れが発生し、右のスモールライトが突然点灯しなくなった。"
29,"2024年06月27日","新潟県","ＨＰ","ニッサン","2011/10","DBA-FC26","セレナ","130,000 Km","MR20","エンジン","２０２４年４月２６日","一般道を走行中にエンジン警告灯が点灯するとともにエンジンが停止し、惰性で路肩に流れ着いた。整備工場でタイミングチェーンが外れていると診断された。"
30,"2024年06月27日","福岡県","ＨＰ","スズキ","2015/02","DAA-SHC26","ランディ","80,000 Km","MR20-SM23","動力伝達","２０２４年５月","ＣＶＴの不良により、加速時にガガガと音が発生し同時にハンドルが異常振動した。また、高速走行中にアクセルが全く反応しなくなった。"
31,"2024年06月27日","大阪府","ＨＰ","ホンダ","2020/05","2BL-SD10","ＣＲＦ１１００Ｌ　Ａｆｒｉｃａ　Ｔｗｉｎ","26,000 Km","SD08E","エンジン","２０２１年５月","発進時クラッチを繋ぎアクセルを開く際や、アクセルを戻しクラッチを握って停止する際にエンジンストールしたり、エンジン回転がアイドリングまで下がりきらない。ノッキングやバックファイヤー、アフターファイヤー、黒煙の排気、エアクリーナボックスからのドレンホースに大量のオイルが溜まる症状等が発生している。"
32,"2024年06月27日","宮城県","ＨＰ","ニッサン","2011/08","DBA-ML21S","ルークス","154,000 Km","K6A","保安灯火","２０２４年４月くらい","夜にライトが点いている状態でブレーキペダルを踏むと、左側ブレーキランプが全く点かなくなる。"
33,"2024年06月27日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2023/06","6AA-SNT33","エクストレイル","","KR15-BM46-MM48","かじ取り","２０２４年４月２３日","オートパイロットを使用して高速道路を走行中、ハンドルを持っているのに持っていない警告が出た。ハンドルのいろいろな場所を持ち替えたが回復せず、２段階目、３段階目の警告がでて車が蛇行、横揺れをしながら急ブレーキをかけるような動作をした。同じ挙動が２回発生し、パニックになってしまったため、アクセルペダルを踏みこんでしまい、前走車両に追突をした。"
34,"2024年06月27日","福井県","来訪","ジープ","2020/01","ABA-JL20L","ラングラー","29,300 Km","N","エンジン","","高速道路走行中に水漏れが発生した。安全な場所まで走行しディーラーへ連絡したが、エンジン交換が必要な故障まで発展してしまった。"
35,"2024年06月26日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2024/01","ZAA-ZE1","リーフ","","EM57","電動機(モーター)","","インターネット上で掲載されている走行可能距離が２８０ｋｍとされているところ、実際の走行では１７０ｋｍ走行した時点で残り３％になった。"
36,"2024年06月26日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2015/06","DLA-ZVW35","プリウス","","2ZR-3JM","かじ取り","２０２４年６月２４日","県道のカーブを２～３個曲がっていたところ、突然パワーステアリングが効かなくなり、ハンドルが固くなった。ハンドルに力を込めて曲がっていったところ、今度は突然復旧をしてハンドルが一気に切れ込んだ。その後、ハイブリッドシステム警告灯が点灯した。"
37,"2024年06月26日","群馬県","ＨＰ","ＢＭＷ","2016/06","DBA-XS20","ＭＩＮＩ　Ｃｏｏｐｅｒ　Ｓ　５　Ｄｏｏｒ","70,000 Km","B48A20A","保安灯火","２０２４年６月４日","エンジン始動直後、右バックランプ警告が出た。電球切れを疑ったが、続けて右後ろウインカー球切れ警告が発生し、確認すると右テール一式（ブレーキ、テール、ウインカー、バックランプ）が不点灯であった。テールランプユニットのコネクタを確認したところ、コネクタが焦げていた。"
38,"2024年06月26日","石川県","ＨＰ","マツダ","2019/06","3DA-KG2P","ＣＸ－８","17,300 Km","SH","その他","購入後２年あたりから","停車時、運転中にナビ画面が勝手に動く。特に暑い日には頻発する。"
39,"2024年06月25日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ＢＭＷ","2024/05","3BA-42GM20","ＢＭＷ　Ｘ２　ｘＤｒｉｖｅ２０ｉ","","B48A20P","制動装置","","商業施設駐車場から出るため、発進したところ、アクセルペダルを踏んでも鈍い感触だった。なんとか動くような状態で進み、出入口のゲートで一時停止したところ、その場から動けなくなってしまった。ディーラーで確認し、ブレーキの故障と診断された。"
40,"2024年06月25日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2018/01","DAA-GFC27","セレナ","59,422 Km","MR20-SM24","制動装置","半年前","パーキングブレーキマークと警告マークが点灯し、サイドブレーキが効かなくなった。"
41,"2024年06月25日","大阪府","ＨＰ","ニッサン","2016/12","DAA-GC27","セレナ","55,329 Km","MR20-SM24","燃料装置","２０２４年６月２３日","エンジン始動時にかかりが悪く、キュルキュルという音を繰り返した後に始動したが、エンジン警告灯がつき、アイドリングストップ異常も表示された。また以前より時折エンジンの振動がおかしいときもあった。ディーラーで確認したところ、インジェクターの不具合である可能性が高く、交換が必要との説明を受けた。"
42,"2024年06月25日","神奈川県","ＨＰ","トヨタ","2023/04","6AA-MXWH60","プリウス","18,000 Km","M20A-1VM","電気装置","納車より約１年。駐車から４日目","ルームランプのつけっぱなし等のバッテリが上がるような状況が無いのにバッテリーが上がった。"
43,"2024年06月25日","栃木県","ＨＰ","スズキ","2022/03","5AA-MK53S","スペーシア","","R06A-WA05A","エンジン","２０２２年１１月","走行中に危険警告や色々な警告ランプが点灯してしまう。"
44,"2024年06月25日","神奈川県","ＨＰ","スカニア","2020/08","不明","トラクタ","180,000 Km","DC16","エンジン","２０２３年６月","エンジンを止めると、警告灯など表示されず、突発で再始動できなくなる。"
45,"2024年06月25日","神奈川県","ＨＰ","スカニア","2020/08","不明","トラクタ","180,000 Km","DC16","走行装置","２０２２年８月","後輪ハブリダクションからオイルが漏れた。"
46,"2024年06月25日","群馬県","ＨＰ","ホンダ","2020/07","6AA-GR3","フィット","31,300 Km","LEB-H5","乗車装置","２０２４年６月","後部座席の跳ね上げをしたら中の部品が壊れて下がらなくなった。"
47,"2024年06月25日","福井県","来訪","ジープ","2022/09","3BA-JL20L","ラングラー　アンリミテッド","61,500 Km","N","エンジン","","車庫で保管していたところ、水漏れが発生した。確認したところエンジンブロックから水漏れしていたため、エンジンを交換することになった。"
48,"2024年06月24日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","クライスラー","2014/11","ABA-WK36TA","ジープ・グランド　チェロキー","90,800 Km","G","乗車装置","","一般道走行中、事故などの衝撃は何もないのにアクティブヘッドレストが作動した。"
49,"2024年06月24日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2021/05","2RG-FBA20","ふそうキャンター","33,400 Km","4P10","保安灯火","新車初年度から","フロントウインカーのソケットが焦げて、ウインカーが点かなくなった。"
50,"2024年06月24日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2017/01","DAA-GP7","ＳＨＵＴＴＬＥ","91,000 Km","LEB-H1","動力伝達","","トランスミッション点検の警告が出た。ディーラーで確認したところ、１速ギア商品性悪化により、変速機交換が必要と診断された。"
51,"2024年06月24日","岡山県","ﾌﾘｰﾀﾞｲｱﾙ","アウディ","2022/03","3AA-F3DFY","アウディ　Ｑ３　３５Ｔ","","DFY-4450","その他","","カーナビにおいて、起動中、読み込み中という表示やエラーのメッセージが出て作動しなかったり、真っ黒になって何も見えない状態になる症状が頻発する。"
52,"2024年06月24日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","15,000 Km","TZ155XTY2201","乗車装置","２０２３年１１－１２月頃","「エアバック故障　メーカーに報告してください」の警告メッセージが表示された。"
53,"2024年06月24日","山梨県","ＨＰ","ニッサン","2015/10","DAA-HNT32","エクストレイル","84,120 Km","MR20-RM31","動力伝達","２０２４年６月","信号待ちや渋滞時のクリープ走行時にガクガクと振動し、エンジン停止に至る。"
54,"2024年06月24日","愛知県","ＨＰ","マツダ","","5BA-DMEP","ＣＸ－３０","25,271 Km","PE","乗車装置","２０２４年６月２３日","チャイルドシートを取り付けようとしてシートベルトを出したが巻取りされずに出っぱなしになった。"
55,"2024年06月24日","埼玉県","ＨＰ","三菱","2022/09","5LA-GN0W","アウトランダーＰＨＥＶ","8,422 Km","4B12-S91-YA1","車枠・車体","２０２２年１０月","運転席より後方のルーフサイドが凹んでいる。"
56,"2024年06月24日","兵庫県","ＨＰ","ニッサン","2017/02","DAA-HT32","エクストレイル","81,000 Km","MR20-RM31","動力伝達","７７０００ｋｍ","クリープ現象がなく、アクセルペダルを踏んでいると急発進する。"
57,"2024年06月24日","静岡県","ＨＰ","ホンダ","2017/03","DBA-JF1","Ｎ－ＢＯＸ　ＳＬＡＳＨ","85,044 Km","S07A","動力伝達","２０２３年３月ぐらい","走行中にガガガーと異音と振動があり、整備工場で確認したところ、トランスミッションの故障と診断された。"
58,"2024年06月23日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","15,000 Km","TZ155XTY2201","電動機(モーター)","２０２４年２月","アクセルペダルを踏んでいないにも関わらず電力計が１－２ｋｗを指し、すぐ０に戻る挙動を次にアクセルを踏むまで繰り返す現象が発生している。２ｋｗ表示時は加速するような体感がある。"
59,"2024年06月23日","神奈川県","ＨＰ","ニッサン","2015/06","DAA-HFC26","セレナ","31,200 Km","MR20-SM23","エンジン","２０２３年８月","信号待ちなどで停車中、エアコンが聞かなくなった。ディーラーで確認した結果、ラジエターファンが動作していないため、ラジエターファンの交換が必要と診断された。"
60,"2024年06月23日","奈良県","ＨＰ","プジョー","2019/09","ABA-A9HN01","２０８","24,787 Km","HN01","保安灯火","２０２４年４月頃","フロントガラスの接着不良により、上部と左部分が車体から剥がれ、ガラスを車内側から押してみると浮くようになった。"
61,"2024年06月23日","神奈川県","ＨＰ","ホンダ","2021/09","6AA-RV5","ＶＥＺＥＬ","40,400 Km","LEC-H5","保安灯火","６月～７月にかけて","エアコンを最小レベルにしていてもフロントガラス外側の下方部分が曇る。ワイパーで拭ってもすぐ発生する。"
62,"2024年06月23日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","150 Km","TZ155XTY2201","電気装置","２０２４年８月","スピーカーからザーザー・バリバリといったテレビの砂嵐画面のようなノイズ音が鳴る。"
63,"2024年06月23日","福岡県","ＨＰ","ニッサン","2013/01","DAA-HFC26","セレナ","102,688 Km","MR20-SM23","エンジン","２０２４年３月２８日","アイドリングストップ機能が作動した状態での停車から発進しようとした際にエンジンがかからなかった。再始動操作でエンジンはかかったが、アクセルペダルを踏んだところ、再度エンジンが止まった。ディーラーへ入庫して調査を受けたところ、エアフロセンサーの不具合と診断された。"
64,"2024年06月23日","兵庫県","ＨＰ","日野","2011/09","LKG-SH1EDAG","日野プロフィア","710,000 Km","E13C","エンジン","２０２４年１月２９日","エンジンオイル漏れで、シリンダーヘッドを交換した後、馬力が無くなり、坂道を登らなくなった。"
65,"2024年06月23日","静岡県","ＨＰ","ホンダ","2018/06","DBA-JF3","Ｎ－ＢＯＸ　Ｃｕｓｔｏｍ","11,600 Km","S07B","エンジン","２０２４年６月２２日","乗車前　フロントバンパーが液体で濡れているのを発見し、エンジンルームを確認したところ、オイルキャップが外れており、エンジンルーム内にオイルが吹き出していた。"
66,"2024年06月23日","静岡県","ＨＰ","トヨタ","2018/06","ZBA-JPD10","ミライ","72,000 Km","4JM","制動装置","２０２４年１１月下旬","走行中、ＦＣシステム故障、プリクラッシュセーフティ故障の表示が警告音と共に表示され、そのまましばらく走行しているとブレーキチェック表示が出てブレーキの効きが悪くなった。"
67,"2024年06月23日","石川県","ＨＰ","ボルボ","2021/06","5AA-ZB420TM","ボルボ　Ｖ６０","","B420T6-3330","制動装置","納車後から不定期で発生","エンジン停止後、約１分後に再度エンジンを掛けると、ブレーキペダルのストロークが非常に浅くなり、一度ブレーキを離すと通常の動作に戻る。エンジン停止後、１時間以上経過し、通常通りブレーキを踏みながらエンジンを掛けてＤレンジに入れると制動力が低下しており、クリープ現象で走り出してしまう。この時、ブレーキペダルをストロークの底まで力一杯踏むかサイドブレーキを掛けないと車が止まらない。ブレーキペダル周辺からカチャカチャと断続的に音がする。"
68,"2024年06月23日","福岡県","ＨＰ","ニッサン","2011/11","CBA-U71W","クリッパー　リオ","126,896 Km","3G83","かじ取り","２０２４年５月１９日","自動車優先道路にて出口に近づいた為、右車線から左車線に進路変更する際、「パシャ」と音がしてステアリングが重くなり、制御出来なくなった。ディーラーで確認した結果、「パワステポンプからオイル漏れ」及び「ベルトが切れていた」と説明された。"
69,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","4,700 Km","TZ155XTY2201","車枠・車体","２０２３年１１月２０日","荷室床、リアハッチをあけてすぐ中央付近に１、２滴の水滴を発見した。リアワイパー取り付け穴またはその周辺のガラス圧着不良部からの漏水と思われる。"
70,"2024年06月22日","福岡県","ＨＰ","ニッサン","2009/08","CBA-SGE25　改","キャラバン","133,000 Km","QR25","その他","エアコンを使い始める５月くらいから","エアコンコンデンサのファンモータ不良により、エアコン使用時に風は出るが冷房が効かなくなった。"
71,"2024年06月22日","北海道","ＨＰ","トヨタ","2001/06","TA-JZS179","クラウン","125,000 Km","2JZ","制動装置","約３年程前","交差点等でハンドルを左右に回すと後輪左右にゴロゴロという異音が発生し、左右後輪にブレーキが掛かる感じになる。また直線走行し、停止時にブレーキペダルを踏むとＡＢＳが作動する。"
72,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","4,700 Km","TZ155XTY2201","車枠・車体","２０２３年１１月２０日","雨天の翌日に運転席側フロントガラスからダッシュボードにかけ、水滴を確認した。"
73,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","4,700 Km","TZ155XTY2201","保安灯火","２０２３年１１月２０日","リアワイパ・ウォッシャが止まらない。電装品がスイッチＯＦＦにも関わらず作動する。ＯＦＦにしても停止しない。"
74,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","4,700 Km","TZ155XTY2201","乗車装置","２０２４年１月１０日","メーター横車両情報モニタに警告表示が一瞬点灯した。その後、時速４０ｋｍ／ｈ程度で交差点を右折走行中　アラームとともにエアバック不具合の警告がメーターパネル横モニタに表示された。"
75,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","10,000 Km","TZ155XTY2201","乗車装置","２０２３年１１月または１２月ごろから、１","メーターパネル横にエアバッグに関する点検表示が１ヶ月間ほど出続けた。"
76,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","4,700 Km","TZ155XTY2201","電動機(モーター)","２０２３年１１月２０日","７５ｋｍ／ｈ前後で幹線道路上を定速維持にて走行中、突然アクセルペダルを踏んでいるにも関わらず失速し、路上に停車した。警報・警告は一切出なかった。"
77,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","","TZ155XTY2201","電動機(モーター)","","走行中・加速中に加速が途切れる事象が発生した。"
78,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","","TZ155XTY2201","保安灯火","","雨天時に一度だけスイッチをＯＦＦにしてもリアワイパ・ウォッシャが止まらなくなったことがある。"
79,"2024年06月22日","埼玉県","ＨＰ","柳州五菱","2023/07","不明","ＡＳＦ２．０","","TZ155XTY2201","車枠・車体","納車された時点","運転席側荷室スライドドア付近の車枠と床の溶接部に不自然なパテ盛りがあり、２０２３年中には、この箇所の車体後方から前方にかけ（後方から前方にかけ傾斜している）水が流れていることを確認した。"
80,"2024年06月21日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","アウディ","2021/06","3BA-8WDECF","アウディ　ＲＳ４　アバント","","DEC","電気装置","購入直後から","カーナビやＥＴＣの制御をしている部分がフリーズし、ＥＴＣの機能停止、画面のブラックアウト、音声の入出力機能停止など多数の作動不良を起こしている。"
81,"2024年06月21日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","","6AA-AAHH45W","アルファード","","A25A-5NM-4NM","その他","","燃料計や走行可能距離表示について、１回の給油量が２４リットル以下であると反応せず、給油しても表示が増えない。"
82,"2024年06月21日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","フォルクスワーゲン","2013/10","DBA-AUCJZ","ＶＷゴルフ　１．２／７７ｋＷ","76,000 Km","CJZ","保安灯火","２０１６～２０１７頃に左側、今年に右側","左右のドアミラー鏡面が外れて割れた。"
83,"2024年06月21日","岡山県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2017/03","TKG-FEB50","ふそうキャンター","161,000 Km","4P10","エンジン","","アドブルー、エンジンチェック、ブルーテック廃棄後処理装置の警告が頻繁に点灯する。"
84,"2024年06月21日","岡山県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2015/07","TKG-FEB50","ふそうキャンター","210,000 Km","4P10","エンジン","","アドブルー、エンジンチェック、ブルーテック廃棄後処理装置の警告が頻繁に点灯する。"
85,"2024年06月21日","東京都","ＨＰ","ニッサン","2016/04","DAA-HY51","フーガ","128,400 Km","VQ35-HM34","エンジン","２０２３年１０月２０日","エンジンとミッションの繋ぎ目からオイルが漏れた。"
86,"2024年06月21日","神奈川県","ＨＰ","三菱","2013/06","QDG-MP35FM","ふそうエアロスター","263,400 Km","6M60","燃料装置","２０２４年３月ごろから","燃料フィルタへ１週間ごとに２００ｃｃ程度の水が溜まり、警告が出て走行不可となる。"
87,"2024年06月21日","大分県","ＨＰ","マツダ","2023/08","3CA-KH3R3P","ＣＸ－６０","","T3-MR","制動装置","常に","ＭＲＣＣ（クルーズコントロール）使用時に隣車線の車を前方車両と誤認識し、急制動がかかる。"
88,"2024年06月20日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","レクサス","2008/05","DBA-GRS191","ＧＳ３５０","92,500 Km","2GR","その他","","雨天でバックカメラが曇る。"
89,"2024年06月20日","岐阜県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2021/05","2DG-FS1AHG","プロフィア","106,700 Km","A09C","車枠・車体","","シャーシとボディの間に挟んであるの樹脂部品が使用中にズレて外れそうな状態になる。"
90,"2024年06月20日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2023/10","5BA-KH5P","ＣＸ－６０","","PY","エンジン","２０２４年６月１９日","国５４７３のリコール作業を済ませている車で、徐行で登り坂を走行時、エンストをした。"
91,"2024年06月20日","沖縄県","ＨＰ","トヨタ","2018/03","DBA-LA700A","ピクシス　メガ","48,086 Km","KF","乗車装置","２０２２年１１月","ドアロックが開かない。"
92,"2024年06月20日","沖縄県","ＨＰ","トヨタ","2018/03","DBA-LA700A","ピクシス　メガ","48,086 Km","KF","動力伝達","２０２２年１１月","ギアのスイッチ不良により、電源が切れなくなった。"
93,"2024年06月20日","沖縄県","ＨＰ","トヨタ","2018/03","DBA-LA700A","ピクシス　メガ","48,086 Km","KF","排ｶﾞｽ･騒音","２０２２年１１月","マフラーを支える部品が劣化した。"
94,"2024年06月20日","沖縄県","ＨＰ","トヨタ","2018/03","DBA-LA700A","ピクシス　メガ","48,086 Km","KF","その他","２０２２年１１月","クーラーの風が出ない。"
95,"2024年06月20日","沖縄県","ＨＰ","トヨタ","2018/03","DBA-LA700A","ピクシス　メガ","48,086 Km","KF","保安灯火","２０２２年１１月","サイドミラーが開かない。"
96,"2024年06月20日","奈良県","ＨＰ","ダイハツ","2023/04","5BA-LA650S","タント","3,100 Km","KF","電気装置","２０２４年５月１４日","フロントガラス内面側に設置されているステレオカメラについて、フロントガラスとステレオカメラ接触部分に大粒の水滴が多量に付着し、衝突防止装置がエラーになり、使用できなくなる。"
