番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
12,"2023年04月28日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2016/12","TPG-FEA50","ふそうキャンター","105,702 Km","4P10","エンジン","２０２３年４月２１日","エンジンを始動したところ、エンジン上部から熱水が噴出した。ディーラーに申告をして確認を依頼したところ、そのまま自走で工場に引き上げられ、冷却水が無い状態でエンジンが過熱してエンジンが壊れていると告げられた。"
13,"2023年04月28日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","アウディ","2022/06","3AA-F2DKNF","Ａ６セダン","","DKN-4413","その他","２０２２年８月下旬から","カーナビの作動不良が有り、一度ディーラーで修理を受けたが、その後、走行中にカーナビ、メーター類が全てブラックアウトする症状が発生した。メーターの交換が行われたが、再びブラックアウトが発生した。"
14,"2023年04月28日","群馬県","ＨＰ","三菱","2007/09","DBA-CV5W","デリカ","210,000 Km","4B12","乗車装置","２０２２年１２月下旬","キーレスエントリーでテールゲート以外のドアロック解錠ができない。"
15,"2023年04月28日","兵庫県","ＨＰ","ニッサン","2011/01","DBA-K13","マーチ","55,000 Km","HR12","動力伝達","４４９８８","前触れも無く走行中に駆動力伝達不能になり路肩になんとか停車した。エンジン警告灯が点灯するとともにエンジン始動もできなくなった。"
16,"2023年04月28日","三重県","ＨＰ","スバル","2014/09","CBA-VAB","ＷＲＸ","109,400 Km","EJ20","乗車装置","２０１９年、２０２３年","運転席のインナーハンドル折れたため、ドアが内側から開かなくなった。２０１９年に一度破損して部品交換を行ったが、再発した。"
17,"2023年04月28日","新潟県","ＨＰ","マツダ","2016/12","LDA-DK5AW","ＣＸ－３","76,500 Km","S5","乗車装置","２０２３年３月２８日","積荷の際、運転席側助手席側両方の後部座席を倒したところ、運転席側後席のシートベルトのみが引き出されたままとなり、巻き戻しも引き出しも出来なくなった。ディーラーでリアシートベルトリトラクタの不良と診断され交換が必要になった。"
18,"2023年04月28日","茨城県","ＨＰ","三菱","2015/11","TKG-FEB50","ふそうキャンター","436,000 Km","4P10","エンジン","２０２３年４月２８日","エンジンチェックランプ、ＥＮＧＳＹＳが点灯したため、一般道を走行して帰社しようとしていたところ、途中でエンジンが停止し、再始動出来なくなった。"
19,"2023年04月28日","静岡県","ＨＰ","ホンダ","2019/11","6BA-JF3","Ｎ－ＢＯＸ","28,000 Km","S07B","保安灯火","２０２３年４月２７日","運転席側後席のガラス窓を閉めようとしたら、ガタっと音とともにガラスが下がり、開閉不能になった。整備工場で確認したところ、ガラスを動かす装置の白いプラスチック部品が、根本から割れていた。"
20,"2023年04月27日","三重県","ＨＰ","ニッサン","","DR17V","ＮＶ１００クリッパー","","","制動装置","２年前と今年の４月","２年前、床部から異音があった。販売店で確認したところ、右前輪ブレーキキャリパーが緩んでグラグラの状態だったとのことで修理したが今年の４月に再び異音が発生し、再度確認したところ、今回は左前輪のブレーキキャリパーの緩みと診断され、修理した。"
21,"2023年04月27日","大阪府","電話","メルセデス・ベンツ","2019/03","5AA-205078C","Ｃ２００　４ＭＡＴＩＣ","9,700 Km","264-EM0018","かじ取り","２０２３年４月","走行中に突然ステアリング異常の警告灯が点灯し、パワーステアリングが効かなくなった。ディーラーで確認したところ、何等かの理由でステアリングギアボックスの電子部品に水が浸入したものと診断された。"
22,"2023年04月27日","東京都","ＨＰ","スズキ","2004/04","LE-DA63T","キャリイ","37,900 Km","K6A","その他","寒い時期","スピードメーターが一時的に動かなくなる。"
23,"2023年04月27日","群馬県","ＨＰ","ニッサン","2015/10","EBD-DR16T","ＮＴ１００クリッパー","45,000 Km","R06A","緩衝装置","２０２３年４月","走行中に前輪の突き上げが大きいことに気が付き、点検したところ、サスペンションスプリングが折れていた。"
24,"2023年04月27日","高知県","ＨＰ","トヨタ","2010/08","CBA-TRH219W","ハイエース","89,900 Km","2TR","車枠・車体","２０１９年４月","ルーフ右側樋の部分が塗装剥離していることを発見し、ディーラーにて塗装修理を行ったが、部分的な再塗装修理だったために再び剥がれた。"
25,"2023年04月26日","青森県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","2001/04","GD-TT2","サンバー","70,000 Km","EN07","その他","４～５年前から","速度計の針がブレが大きかったため、整備工場で確認したところ、スピードメーターワイヤーの劣化で交換が必要と診断された。"
26,"2023年04月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2015/02","TKG-FEA20","ふそうキャンター","180,000 Km","4P10","エンジン","８年間で２回","エンジンオイルが増えてエンジンが焼き付き、ターボチャージャーが故障した。"
27,"2023年04月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2015/02","TKG-FEA20","ふそうキャンター","180,000 Km","4P10","その他","","エアコンが冷えなくなり、エアコンに関わる部品全てを交換した。"
28,"2023年04月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2015/02","TKG-FEA20","ふそうキャンター","180,000 Km","4P10","排ｶﾞｽ･騒音","","アドブルーの警告ランプが点灯し、車両が動かなくなった。"
29,"2023年04月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2015/02","TKG-FEA20","ふそうキャンター","180,000 Km","4P10","車枠・車体","","パワーゲートの板バネが破損し、ゲートが上げられなくなった。"
30,"2023年04月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2015/02","TKG-FEA20","ふそうキャンター","180,000 Km","4P10","動力伝達","","オートマチック車で、クラッチが破損したため、配達先で一度車を止めたところ、そこから発進不能になった。"
31,"2023年04月26日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","","DBA-GK3","フィット","","L13B","エンジン","","スターター不良により、アイドリングストップ後に突然エンジンがかからなくなった。"
32,"2023年04月26日","千葉県","ＨＰ","三菱","2016/02","TKG-FEB50","ふそうキャンター","260,000 Km","4P10","エンジン","昨年末から","エンジンチェックランプが点灯し、エンジンが吹けなくなる。再始動出来なくなる。ディーラーで確認したところ、マフラー、センサーの交換が行われたが故障が再発し、センサー異常の原因がターボチャージャーと診断されて交換になった。"
33,"2023年04月26日","愛知県","ＨＰ","ニッサン","2013/12","DBA-B21W","デイズ","59,310 Km","3B20","燃料装置","２０２２年４月","２０ｋｍ以上走行後の信号待ちでエンジン警告灯が点灯した。整備工場でＰ０１７１（リーン異常）が検出され、燃料ポンプの吐出量が足りないということで燃料ポンプを交換することになった。"
34,"2023年04月26日","長野県","ＨＰ","マツダ","2017/03","LDA-KF2P","ＣＸ－５","79,839 Km","SH","乗車装置","新車購入後から２年程してから今までに４回","後部座席シートベルトを出したら戻らなくなった。新車購入から６年乗ったが、後部座席左右合わせて４回戻らなくなることがあった。"
35,"2023年04月26日","広島県","ＨＰ","マツダ","2014/01","LDA-BM2FS","アクセラ","123,000 Km","SH","制動装置","２０２３年４月","下り坂の途中で駐車するため、サイドブレーキを引いて、ギアをニュートラルに入れてからフットブレーキを緩めると、ゆっくりとずり下がった。フットブレーキを離した瞬間は車体が沈み込むような感覚があった。メーターには警告などは表示されていなかった。ディーラーで確認した結果、左リアブレーキキャリパーのサイドブレーキオペレーティングレバーの軸部が固着しており、サイドブレーキのレバーを引いても駐車ブレーキが作動しなくなっていると説明を受けた。"
36,"2023年04月25日","兵庫県","電話","スズキ","2014/11","EBD-DA16T","キャリイ","74,900 Km","R06A","動力伝達","","坂道発進や坂道走行時の変速制御が適切でなく、アクセルペダル少し踏んでいくとスタートせず、もう一段踏むと、農道など、少しでも路面が悪ければタイヤが空転するほどの急発進をしたり、登り下りの坂道では適切な変速をしないので、エンジンブレーキが使えなかったり、ぎくしゃくした運転になる。"
37,"2023年04月25日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","プジョー","2019/04","LDA-T9YH01","３０８","7,000 Km","YH01","エンジン","２０２３年２月２７にと","走行中にブレーキをかけたところエンストした。ディーラーで確認をしてもらったが、コンピューターに故障の履歴が無いと言われている。"
38,"2023年04月25日","兵庫県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","","-","ＸＶ","","","制動装置","２０２３年４月","高速道路の走行車線をを９０～９５ｋｍ／ｈで走行車線を走行中、トンネルを抜ける出口のところで、前方に何ら問題が無いのに警告音が鳴ると共に急ブレーキが作動した。"
39,"2023年04月25日","長野県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2018/07","DAA-MR41S","ハスラー","8,400 Km","R06A-WA04A","エンジン","","冬季の走りはじめ等において、エンジンあたりからボロボロと異音や異常振動が発生する。"
40,"2023年04月25日","東京都","ＨＰ","マツダ","2021/06","3DA-DM8P","ＣＸ－３０","19,000 Km","S8","緩衝装置","納車１年未満","冬タイヤ交換時、リアショックアブソーバーのオイル漏れを発見した。"
41,"2023年04月25日","東京都","ＨＰ","プジョー","2016/12","ABA-T9WHN02","３０８","74,000 Km","HN02","エンジン","２０２１年１０月頃","高速道路を走行中、エンジンの警告音と警告灯がついた。走行時においても別段おかしいところはなく自走が可能だったので自宅まで車を走らせて駐車後、レッカーでディーラーへ搬送した。ディーラーで確認の結果、タイミングベルト摩耗による、オイルプレッシャーの低下で、タイミングベルト一式とソレノイドバルブの交換が必要となった。"
42,"2023年04月25日","大阪府","ＨＰ","ホンダ","2021/10","6AA-RV5","ＶＥＺＥＬ","6,492 Km","LEC-H5","電気装置","新車登録から２回","電気系統はＯＦＦ状態で、３日乗らないとバッテリーが完全放電状態になる。"
43,"2023年04月25日","大阪府","ＨＰ","ホンダ","2023/01","6AA-RV6","ＶＥＺＥＬ","4,963 Km","LEC-H5","車枠・車体","２０２３年４月以前","シャーシ溶接部分の全部に錆がある。"
44,"2023年04月25日","埼玉県","ＨＰ","マツダ","2023/02","5BA-DKLAY","ＣＸ－３","1,400 Km","P5","動力伝達","２０２３年２月２６日納車後帰宅時","停止時に後ろから押されるような振動、ノイズがある。ディーラーで確認し、車両が停止直前にリヤデファレンシャル内部から振動が発生しているのが原因と診断された。"
45,"2023年04月24日","島根県","ＨＰ","スバル","2020/07","DBA-GT3","ＸＶ","","FB16","その他","２０２１年５月","クーラーのコンプレッサーから異音が発生した。コンプレッサーの交換を行った。"
46,"2023年04月24日","広島県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","2012/05","DBA-ANH20W","アルファード","56,200 Km","2AZ","車枠・車体","２０２２年５月","塗装剥がれに気が付いた。"
47,"2023年04月24日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","2008/09","DBA-MH23S","ワゴンＲ","85,000 Km","K6A","その他","２０２３年４月","国３１６２でエアコンのエバポレーターに関わるリコール修理を済ませた履歴が有る車で、エバポレーターから冷媒が漏れ、コンプレッサーから異音が出るようになった。"
48,"2023年04月24日","宮崎県","ﾌﾘｰﾀﾞｲｱﾙ","トヨタ","","DBA-KSP130","ヴィッツ","","1KR","保安灯火","２０２３年","助手席の窓ガラスのＵＶコーティングが劣化し、ドアを開閉するとガラスから粉が散るようになった。"
49,"2023年04月24日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2020/07","6AA-GR3","フィット","","LEB-H5","保安灯火","これまでに３回","電動ドアミラーが故障し、開けなくなった。（左右１回ずつと左が修理から１年半後に再発）"
50,"2023年04月24日","香川県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2020/11","2KG-FK72FY","ふそうキャンター","5,400 Km","6M60","電気装置","","購入して半年あたりから、バッテリー上がりが立て続けに発生しており、合計４回上がっている。"
51,"2023年04月24日","栃木県","ＨＰ","ホンダ","2018/08","DBA-RP1","ステップワゴン","33,717 Km","L15B","エンジン","２０２３年４月２１日","時速約６０ｋｍ／ｈで走行中に急減速し、アクセルペダルを踏んでも加速しなくなり、停車したらそのままエンジンが停止し、再始動が全くできなくなった。３０分後に再始動可能になった。様々な種類の点検の表示があり、次の日に消えた。"
52,"2023年04月24日","鳥取県","ﾌﾘｰﾀﾞｲｱﾙ","フォルクスワーゲン","2022/01","3DA-A1DFF","Ｔ－ＲＯＣ　２．０　ＴＤＩ／１１０ｋＷ","","DFF","その他","購入直後から","自動車専用道路を走行している際にレーンを逸脱しそうになっていないのに、レーンキープのアラートが頻繁になる。販売店で確認をしたがメーカーから修理方法が出されていないとのことで問題が解消しない。"
53,"2023年04月24日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","DAA-MH55S","ワゴンＲ","66,000 Km","R06A-WA05A","エンジン","","車検時にウォーターポンプからの水漏れが発見され、ウォーターポンプとベルトテンショナーの交換が必要と診断された。"
54,"2023年04月24日","不明","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","","DBA-LA350S","ミライース","","KF","車枠・車体","購入直後から","リヤハッチに均等な間隔で８カ所の凹みが出来ている。"
55,"2023年04月24日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","クライスラー","2014/05","ABA-KL24","ジープ・チェロキー","61,300 Km","B","エンジン","２０２２年１０月７日","ステアリングコラムロックモジュールの故障により、エンジンが始動出来なくなった。"
56,"2023年04月24日","栃木県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2023/02","3DA-KH3P","ＣＸ－６０","","T3","その他","納車即日","高速で１２０ｋｍ／ｈで走行していたところ、正常に意識が有り前を向いていたにも関わらず、「ドライバーに異常検知した」として、ハザードランプが点いて、路肩に退避していく緊急回避制御が作動した。自分でハザードランプを解除したところ、制御が解除されて通常に戻った。"
57,"2023年04月24日","栃木県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2023/02","3DA-KH3P","ＣＸ－６０","","T3","制動装置","納車その日に３回","高速道路の緩い右カーブで、追い越し車線に移って追い越しを行おうとしたところ、隣の車線を検知し急ブレーキがかかった。１週間後、一般道の十字路を左折し、横断歩道を目の前にしたところで、人も車もいないのに急ブレーキがかかった。"
58,"2023年04月24日","栃木県","ﾌﾘｰﾀﾞｲｱﾙ","マツダ","2023/02","3DA-KH3P","ＣＸ－６０","","T3","動力伝達","２０２３年３月１８日","駐車場からバックで出ようとしたところ、エンジンはふけるが亀が動くような速度しかでない症状が発生した。Ｄレンジにして前進してみたがやはり速度が出ず、坂道に出て、自然に速度がのったところ、ギアが動く音がして復旧した。"
59,"2023年04月24日","東京都","ＨＰ","三菱","2019/09","TPG-BE640G","ふそうローザ","71,304 Km","4P10","燃料装置","２０２２年１２月２４日","運転中にエンジンストップし、その後再始動不能になった。グロープラグの故障コードが出ていたため、グロープラグとインジェクターを外すと、２番の先端が欠けて無くなっていた。"
60,"2023年04月24日","大阪府","ＨＰ","スズキ","2016/04","ABA-DA17W","エブリイ","62,800 Km","R06A","保安灯火","２０２３年４月２４日","ヘッドライトが暗いと判断し、バーナーを交換しようとしたところ、ソケットが焼け焦げ溶解していた。バーナーとイグナイターの焦げによる煙が原因でヘッドライト内部リフレクターは白く濁ってしまっている。"
61,"2023年04月24日","東京都","ＨＰ","三菱","2019/09","TPG-BE640G","ふそうローザ","77,000 Km","4P10","燃料装置","２０２３年２月２７日","修理でディーラーに入庫中にエンジンが始動出来なくなった。グロープラグとインジェクターを外すと、４番の先端が欠けて無くなっていた。"
62,"2023年04月24日","大阪府","ＨＰ","ニッサン","2023/02","5BA-FC28","セレナ","1,000 Km","MR20","電気装置","納車即日","日産コネクト・ドコモインカーコネクトが使えなくなった。"
63,"2023年04月24日","愛知県","ＨＰ","ホンダ","2019/10","6BA-JF3","Ｎ－ＢＯＸ　Ｃｕｓｔｏｍ","15,900 Km","S07B","保安灯火","２０２３年３月初旬","運転席側の後部座席のパワーウインドウの動きがおかしくなった。ディーラーで確認した結果、ガラスボルト取付け部が外れているため、ガラスレギュレーターとスライドドアガラスの交換が必要と診断された。"
64,"2023年04月23日","大阪府","ＦＡＸ","ＢＭＷ","2016/02","LDA-2C20","ＢＭＷ　２１８ｄＡｃｔｉｖｅＴｏｕｒｅｒ","30,000 Km","B47C20A","動力伝達","２０２３年４月１１日","走行中にエンジンに激しい振動があり、ドライブトレーン警告灯が点灯した。翌日には症状が復帰したため、自走でディーラーへ入庫してプログラミングを実施したが、後日に再発して坂道が登れなくなった。ディーラーに搬送して確認した結果、ロックアップ機構不良としてミッション交換が必要と診断された。"
65,"2023年04月23日","長野県","ＨＰ","ニッサン","2015/11","DBA-E12改","ノート","44,232 Km","HR16","動力伝達","２０２３年４月１５日","販売店でクラッチ交換実施して５０ｋｍ走行後、ギアが１速に入っていた状態でブレーキペダル、クラッチペダルを踏んだままスタートスイッチを押し、セルモーターが回転したところ、クラッチが切れておらず車が暴走し、約１０ｍ走行の上、家屋のコンクリート段差に衝突して停止した。ディーラーへ車を引き上げて検査したところ、クラッチの油圧系統の油漏れによりエアの噛み込みが発生し、クラッチ板が動作しなくなっていたことが判明した。"
66,"2023年04月22日","滋賀県","ＨＰ","ニッサン","2018/01","DAA-GFC27","セレナ","38,750 Km","MR20-SM24","制動装置","２０２３年４月１４日","自宅から出発しようとエンジンをかけたところ、ブレーキの警告灯が点灯していた。電動パーキングブレーキのモーターの不具合で、電動パーキングブレーキアクチュエーターの交換が必要となった。"
67,"2023年04月21日","愛知県","ＨＰ","ホンダ","2016/07","DBA-JF2","Ｎ－ＢＯＸ＋","170,000 Km","S07A","動力伝達","２０２３年３月購入時発生。","速度関係なくアクセルペダルを踏み込んだ時に断続的に大きめの異音が発生するようになった。ディーラーで確認したところ、ＣＶＴ内部の加工欠が偶発的にドリブンプーリーベアリング内部に噛みこみベアリング内部の軌道面が剥離して異音が発生していると診断された。"
68,"2023年04月21日","静岡県","ＨＰ","ＵＤトラックス","2019/01","TPG-FEA8Y","カゼット","130,668 Km","4P10","制動装置","２０２３年４月１９日","走行中にカタカタ音がして足回りを点検したところ、運転席側のブレーキキャリパーボルトの欠落を発見した。"
69,"2023年04月21日","茨城県","ﾌﾘｰﾀﾞｲｱﾙ","スバル","","DBA-GP2","インプレッサ","","FB16","保安灯火","","純正オプションのデイライトが車検の毎に不点灯になり修理を繰り返している。"
70,"2023年04月21日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","アバルト","2022/04","3BA-31214T","５９５","","312B4","動力伝達","２０２３年３月末","一般道を走行中、ブレーキを掛けた際にギアがニュートラルになり、それ以降ギアが入らなくなって走行不能になった。ディーラーでアクチュエーター故障と診断された。"
71,"2023年04月21日","宮崎県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2015/12","DBA-LA600S","タント","53,319 Km","KF","エンジン","２０２３年４月５日","エンジンルーム内から焼けた臭いがした。確認したところセルモーターのブラシホルダー部が真っ黒に焦げていた。"
72,"2023年04月21日","愛知県","ＦＡＸ","マツダ","2015/01","LDA-GJ2AW","アテンザ","67,600 Km","SH","エンジン","２０２３年３月７日、３月１９日","低速走行中、突然エンジンが停止した。その場で再始動したところ５、６回目でかかったが、エンジン回転数が不安定で車体が左右に大きく揺れる状態が１０～１５秒間続いた。後日にも同じ症状が発生し、ディーラーで確認を行った結果、エンジン制御プログラム不良と診断され、書き換えと煤の焼き払いの措置が行われた。"
73,"2023年04月21日","兵庫県","ﾌﾘｰﾀﾞｲｱﾙ","フォルクスワーゲン","2015/06","DBA-6RCJZ","ＶＷ　ポロ　１．２／６６ｋＷ","35,100 Km","CJZ","電気装置","２０２３年４月","コンピューター基盤の故障により、方向指示器が作動しない、警告が表示されるなどの症状が出た。"
74,"2023年04月21日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2019/08","DBA-JF3","Ｎ－ＢＯＸ","36,852 Km","S07B","燃料装置","２０２３年４月","燃料ポンプの不良により、走行中にエンジンが停止した。"
75,"2023年04月21日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2021/07","6AA-RV5","ＶＥＺＥＬ","","LEC-H5","電気装置","２０２３年３月初旬から","バッテリーが立て続けに３回あがった。"
76,"2023年04月21日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","その他","","-","Ａｉｏｏｎ","","","かじ取り","２０２３年","前輪とハンドルをつなぐネジが緩み、走行中に脱落した。"
77,"2023年04月21日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2023/03","6AA-GR3","フィット","","LEB-H5","エンジン","２０２３年４月６日","２０ｋｍ／ｈくらいで走行中、アクセルを踏んでいないのにエンジン回転が４０００ｒｐｍくらいまで回り、ブレーキペダルを踏んでもとまらず、むしろ加速するような症状が発生した。前走車に衝突しそうになったところでＡＥＢＳが作動して停止したのだが、その後に車が異音がしたと思ったくらいのところで再び前に進みだし、前走車に追突してしまった。"
78,"2023年04月21日","三重県","電話","スズキ","2006/02","CBA-MH21S","ワゴンＲ","146,700 Km","K6A","乗車装置","２０２２年１０月１７日","交差点で衝突事故になりエアバッグが展開するような事故に至ったが、この際にシートベルトが抜けた。"
79,"2023年04月21日","東京都","24時間電話","スズキ","2015/05","DBA-MA15S","ソリオ","40,000 Km","K12B","動力伝達","２０２３年４月１９日","走行中にガタガタガタ・・と異音が出るようになった。確認したところトランスミッションの内部で回転している部分がトランスミッション内側の面に接触していて、アクセルを開けた際に削れて火花が出たり、黒いかすが出ている状態と診断された。"
80,"2023年04月21日","新潟県","ＨＰ","ニッサン","2015/07","DAA-HT32","エクストレイル","91,307 Km","MR20-RM31","動力伝達","２０２３年４月１４日","信号待ちの発進時にガクガクし、システムエラーでエンジンが停止し、そのまま路上で動かなくなった。"
81,"2023年04月21日","京都府","ＨＰ","トヨタ","2007/04","DBA-ACV40","カムリ","74,284 Km","2AZ","動力伝達","２０２３年４月７日","カーブを曲がり、徐行運転中、突然急加速し、ブレーキペダルを踏んでも止まらずブロック塀の基礎部に衝突した。"
82,"2023年04月20日","新潟県","ＨＰ","ニッサン","2018/10","DBA-NT32","エクストレイル","54,000 Km","MR20","電気装置","２０２３年３月２５日","車を使用中にシステム故障の表示が出た。ディーラーで確認した結果、フロントカメラユニットの交換が必要と診断された。"
83,"2023年04月20日","北海道","ﾌﾘｰﾀﾞｲｱﾙ","いすゞ","2018/03","2PG-CYL77CA","ギガ","547,000 Km","6UZ1","エンジン","","エアドライヤからオイルが噴き出す。"
84,"2023年04月20日","福岡県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2023/03","6AA-GR3","フィット","","LEB-H5","電動機(モーター)","","電子制御の不良により、発進停止を繰り返していると、バッテリーの残量に関係なく回生ブレーキがかかる時とかからない時があり、ブレーキの操作量の調整が難しくなる。"
85,"2023年04月20日","千葉県","24時間電話","マツダ","","-","デミオ","","","その他","２０２３年４月１５日","エアコンが効かなくなった。ディーラーでエアコンの圧がかかるところの２カ所において穴があいていると診断された。"
86,"2023年04月20日","千葉県","24時間電話","マツダ","","-","デミオ","","","保安灯火","","ウォッシャー液が出なくなった。ディーラーで確認したところ、プラスチックタンクとパイプに穴があいていると診断された。"
87,"2023年04月19日","兵庫県","ﾌﾘｰﾀﾞｲｱﾙ","日野","2015/09","QPG-SH1EADG","プロフィア","269,000 Km","E13C","燃料装置","２０２３年４月","コモンレールの根元に亀裂が生じ、燃料がオイルパンに流れたことからオーバーフローし、エンジンオイルが噴出したことで路上にオイルを撒き散らしてしまった。"
88,"2023年04月19日","兵庫県","ＨＰ","いすゞ","2019/01","2PG-CYJ77C","ギガ","454,034 Km","6UZ1","排ｶﾞｽ･騒音","２０２３年４月１９日","尿素水サプライモジュールの異常不良により、尿素水噴射異常のランプが点灯した。"
