番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
46,"2022年12月24日","東京都","ＨＰ","アウディ","2009/09","ABA-8JCDLF","アウディ　ＴＴＳ　ロードスター","39,142 Km","CDL","制動装置","２０２１年９月","走行中に警告音と警告灯が点灯し、ＡＢＳおよび車両姿勢制御機能が使用不能になった。整備工場でＡＢＳユニットのコンデンサ等を交換した。"
47,"2022年12月24日","山口県","ＨＰ","ニッサン","2012/02","DBF-VY12","ＮＶ１５０　ＡＤ","164,000 Km","HR15","乗車装置","２０２２年１２月","メーターパネルにエアバッグの警告表示がされていた。整備工場でケーブル不良と診断された。"
48,"2022年12月24日","静岡県","ＨＰ","マツダ","2012/09","LDA-KE2FW","ＣＸ－５","113,400 Km","SH","電気装置","２０２２年１２月","走行中に、エンジンルームから金属部品が衝突するような音が発生し、メーターパネルに充電システム異常の警告表示が点灯。停止後、エンジンルームを確認すると、オルタネータのプーリーが脱落し、エンジンに接続されているプーリーの上に脱落。ファンベルトも外れていた。"
49,"2022年12月24日","新潟県","ＨＰ","ニッサン","2016/08","DAA-GFNC27","セレナ","48,000 Km","MR20-SM24","動力伝達","２０２２年１１月１２日","高速道路を走行中にエンジンより異音が発生した。ディーラーでＣＶＴユニットの交換になると診断された。"
50,"2022年12月24日","東京都","ＨＰ","スズキ","2003/09","UA-EC22S","ツイン","49,000 Km","K6A","保安灯火","２０２２年１２月","ブレーキペダルを踏んでも右リアブレーキランプが点灯しない。メーターパネルに警告表示はされない。ランプを確認しても球切れではない。ランプをソケットから取り外して同じランプを付け直すと点灯する。暫くするとまた点灯しなくなる。"
51,"2022年12月24日","大阪府","ＨＰ","ニッサン","2013/01","DAA-HFC26","セレナ","76,494 Km","MR20-SM23","電気装置","２０２２年９月","オルタネーターの内部不良により、オルタネーターベルトから異音が出た。"
52,"2022年12月23日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2017/08","DBA-JF3","Ｎ－ＢＯＸ","47,600 Km","S07B","その他","２０２２年８月ごろから","高速道路でホンダセンシングを使用していると、レーンキープが機能せず、ジグザグ走行をしたり、車線を大きく逸脱する。"
53,"2022年12月23日","福岡県","ＨＰ","ホンダ","2021/07","6AA-RV5","ＶＥＺＥＬ","","LEC-H5","制動装置","２０２２年１２月２３日","タイヤのチェーンを取り外す作業をしている時に５０ｃｍくらい動かそうとしてアクセルペダルを軽く踏んだ。思いの外エンジン音がしたので、間違えたと思い踏み直した。更に加速したので、パーキングにシフトチェンジし、シフト表示はＰと出ていたが、その間加速し続け駐車場の車止めを超え建物に衝突した。この時、衝突軽減システムは作動しなかった。"
54,"2022年12月23日","三重県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2017/09","DBA-JF3","Ｎ－ＢＯＸ","90,200 Km","S07B","動力伝達","２０２２年１１月１８日","高速道路を走行中、突然動力が伝わらなくなり、停止した。路肩の緊急電話にてレッカー要請し、ディーラーで確認をしたところ、ＣＶＴの回転センサーの先端が破損しているとのことで、ＣＶＴ一式の交換をすることになった。"
55,"2022年12月23日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","フォルクスワーゲン","2013/04","DBA-1KCBZ","ゴルフ","97,100 Km","CBZ","動力伝達","２０２２年１２月２２日","外３４３５のリコールについて、対象外とされている車で走行中に異音が出るとともにギアがニュートラル状態でつながらなくなり、走行不能になった。"
56,"2022年12月23日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","レクサス","","6AA-AXZH10","ＥＳ３００ｈ","","A25A-3NM","保安灯火","","デジタルアウターミラーの画質が悪すぎる。特に夜間は視認性が悪く、真横に車が居ても判らず、距離感もつかめない。"
57,"2022年12月23日","東京都","ＨＰ","ニッサン","2022/09","6AA-FE13","ノート　オーラ","3,000 Km","HR12-EM47","エンジン","２０２２年１２月７日","走行中に突然前触れもなく警告音とともにエンジンが停止し、再起動できずレッカー移動した。ディーラーでインバーターを交換した。"
58,"2022年12月23日","岩手県","ＨＰ","ホンダ","2022/09","5BA-RP7","ステップワゴン","","L15C","車枠・車体","","暖房の効きが悪い、暖房をかけると焦げ臭いにおいがする。"
59,"2022年12月23日","不明","電話","プジョー","2019/12","-","３００８","45,000 Km","","エンジン","２０２２年１２月","エンジンオイルの消費が激しく、車検から１か月でエンジンのアラートが出た。販売店で確認し、エンジン交換を行うことになった。"
60,"2022年12月23日","神奈川県","ﾌﾘｰﾀﾞｲｱﾙ","ホンダ","2007/05","DBA-UC1","インスパイア","45,000 Km","J30A","保安灯火","２０２２年１２月","Ｆガラス左側モール付近にひびが入った。"
61,"2022年12月23日","東京都","24時間電話","トヨタ","2020/11","5BA-M910A","ルーミー","","1KR","エンジン","２０２１年５月ごろから","暑い日（３０℃以上）にアクセルペダルを踏んでも加速しなくなる。"
62,"2022年12月23日","和歌山県","ＨＰ","ニッサン","2013/02","DBA-TB17","シルフィ","100,000 Km","MRA8","エンジン","２０２２年３月車両購入直後","アイドリング回転数が５００回転前後でガタガタ揺れる。信号停止等のために低速時にアクセルを離すと回転数が下がりエンジンブレーキがかかる。エンストする寸前の様な感じがする。"
63,"2022年12月23日","奈良県","ＨＰ","トヨタ","2018/03","DBA-AGH30W","アルファード","35,000 Km","2AR","乗車装置","２０１８年（購入時）から","徐行運転時も含めて速度に関係なく、加速時やブレーキ時、路面の凹凸が粗い場所を走っていると助手席がガタつく。"
64,"2022年12月23日","岡山県","ＨＰ","スバル","2016/04","DBA-YAM","エクシーガ","93,000 Km","FB25","制動装置","２０２２年７月","エンジン始動時にブレーキペダルの踏み込みが固く、強く踏み込んでエンジンがかけれる状態だった。"
65,"2022年12月23日","福岡県","ＨＰ","ニッサン","2010/03","DBA-V36","スカイライン","95,800 Km","VQ25","エンジン","２０２２年１２月３日","ステアリングユニットの不良により、ＫＥＹ点灯後、再度エンジンスタートが出来なくなった。"
66,"2022年12月22日","大阪府","ＨＰ","ニッサン","2022/09","ZAA-B6AW","サクラ","2,000 Km","MM48","電気装置","新車の納車日から","ナビとｉＰｈｏｎｅをＢｌｕｅｔｏｏｔｈで繋ぐと、ＬＩＮＥなどの通知音のボリュームが勝手に大きくなる。"
67,"2022年12月22日","新潟県","ＨＰ","スズキ","2007/05","DBA-HG21S","セルボ","90,419 Km","K6A","制動装置","２０２２年１２月２０日","走行中ブレーキを掛けたがエンジン回転が上昇しブレーキ効かずに壁に衝突した。"
68,"2022年12月22日","沖縄県","ＨＰ","フォルクスワーゲン","2019/08","DBA-16CBZ","ＶＷ　ザ・ビートル　１．２／７７ｋＷ","21,000 Km","CBZ","電気装置","２０２２年１２月","スピードセンサーの不良により警告灯が点灯した。エンジン回転数が上がったり、ギアが勝手にニュートラルに入ったりする。"
69,"2022年12月22日","神奈川県","ＨＰ","スカニア","2018/05","-LA6X4MNABD-","Ｒ５８０","239,627 Km","DC16","緩衝装置","２０２２年１１月","エアサスペンションのエアバッグベローズ２個からエア漏れが発生した。"
70,"2022年12月22日","神奈川県","ＨＰ","スカニア","2018/05","-LA6X4MNABD-","Ｒ５８０","239,627 Km","DC16","エンジン","２０２２年１１月","ラジエーターから水漏れした。"
71,"2022年12月22日","茨城県","ＨＰ","ジープ","2018/10","ABA-KL20L","チェロキー","21,500 Km","N","排ｶﾞｽ･騒音","２０２１年９月１４日発生、２０２２年７月","キックダウン時に、後方が全く見通せなくなるほどの排気（煙）が出る。"
72,"2022年12月22日","大阪府","ﾌﾘｰﾀﾞｲｱﾙ","スズキ","","DBA-MH34S","ワゴンＲ","","K6A","電気装置","","アイドリングストップの警告灯が点灯し、ディーラーでリチウムイオン電池の交換が必要と診断された。"
73,"2022年12月22日","青森県","ＨＰ","メルセデス・ベンツ","2015/11","RBA-205042C","Ｃ２００","42,000 Km","274","燃料装置","２０２２年１２月","燃料ホースの劣化によりガソリンが漏れた。"
74,"2022年12月22日","北海道","ＨＰ","トヨタ","","MXPA15","ヤリス","40,000 Km","","緩衝装置","２０２２年１１月","走行時カタカタ音がしたのでディーラーへ入庫した。ロアアーム亀裂があり交換となった。"
75,"2022年12月22日","栃木県","ＨＰ","ＭＶ ＡＧＵＳＴＡ（生産国：イタリア）","2022/09","ZCGDNX","Ｆ３　８００　ＲＯＳＳＯ","1,200 Km","F31","制動装置","購入３ヶ月","リヤブレーキマスターの抜けにより、リヤブレーキが効かなくなった。"
76,"2022年12月21日","長崎県","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2021/12","3DA-247012","Ｂ２００ｄ","","654","その他","","アクティブディスタンスアシストが使用中に突然機能停止する。"
77,"2022年12月21日","静岡県","ＨＰ","ニッサン","2017/12","ZAA-ZE1","リーフ","206,000 Km","EM57","電気装置","２０２２年１１月ごろから","メーターパネルの走行可能バッテリー％表示が大幅にちらつく。"
78,"2022年12月21日","愛知県","ＨＰ","メルセデス・ベンツ","2018/09","LDA-205214C","Ｃ２２０ｄステーションワゴン","59,650 Km","654","エンジン","２０２２年１２月３日","走行中に突然エンジンが停止した。ディーラーにて燃料ポンプ内に鉄粉があり、噴射ノズルから燃料が出ないため詰まっている可能性があると言われている。"
79,"2022年12月21日","埼玉県","電話","三菱","","TPG-FEB80","ふそうキャンター","","4P10","制動装置","２０１９年頃","左後輪のブレーキパッドが摩耗して脱落した。"
80,"2022年12月21日","埼玉県","電話","三菱","2017/07","TPG-FEA80","ふそうキャンター","","4P10","動力伝達","半年前","ギヤの刃こぼれでトランスミッションを乗せ替えた車で、その後にトランスミッションの不具合が発生して修理をした。"
81,"2022年12月21日","埼玉県","電話","三菱","2019/12","2PG-FEB50","ふそうキャンター","70,000 Km","4P10","エンジン","","ウォーターポンプから水漏れが発生した。"
82,"2022年12月21日","埼玉県","電話","三菱","2020/04","2RG-FBA20","ふそうキャンター","","4P10","動力伝達","","発進時などアクセルペダル踏みこむといきなり動力が繋がったりして振動が大きい。"
83,"2022年12月21日","山梨県","ＨＰ","メルセデス・ベンツ","2014/11","RBA-212036C","Ｅ２５０","20,000 Km","M274","燃料装置","２０２２年１２月","ときどき走行中にガソリン臭がしたので、ボンネットを開けたら酷いガソリン臭がした。"
84,"2022年12月21日","千葉県","ﾌﾘｰﾀﾞｲｱﾙ","ニッサン","2014/07","DAA-HFC26","セレナ","54,500 Km","MR20-SM23","動力伝達","２０２２年１２月１２日","走行中に駆動に違和感があり、ディーラへ相談。異常なしと診断されたので、使用を再開したところ、翌日にバックに入らない症状が発生し、翌々日に走行不能になった。"
85,"2022年12月21日","愛知県","ＨＰ","三菱","2010/03","DBA-CV5W","デリカ","188,000 Km","4B12","制動装置","２０１５年～","過去にＡＢＳ／ＡＳＣ油圧ユニットに関わるサービスキャンペーンを済ませている車で、ＡＢＳ／ＡＣＳの警告灯がつき作動しなくなった。停車してエンジンを掛け直すと警告灯が消えた。ディーラーでＡＢＳハイドロユニット交換が必要と診断された。"
86,"2022年12月21日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2021/12","3DA-247012","Ｂ２００ｄ","","654","電気装置","これまでに２回","一般道を走行し、交差点において突然車が動かなくなったことがある。"
87,"2022年12月21日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2021/12","3DA-247012","Ｂ２００ｄ","","654","動力伝達","納車当日から","走行中にガタンゴトンと異常な音や挙動が発生した。高速道路で速度が３０ｋｍ／ｈ位しか出なくなった。"
88,"2022年12月21日","東京都","ﾌﾘｰﾀﾞｲｱﾙ","メルセデス・ベンツ","2021/12","3DA-247012","Ｂ２００ｄ","","654","燃料装置","","走行後、車室内で燃料の臭いがした。"
89,"2022年12月21日","静岡県","ＨＰ","スバル","2017/09","DBA-GT6","インプレッサ","70,000 Km","FB20","エンジン","確実に認識されたのは７００００ｋｍ時","セルフチェック中にエンジンのヘッド付近からのオイルにじみを発見した。ディーラーで確認したところ、しずくが落ちそうなレベルで漏れていると診断された。"
90,"2022年12月21日","滋賀県","来訪","ニッサン","2019/05","LDF-CW8E26","ＮＶ３５０キャラバン","3,000 Km","YD25","緩衝装置","","型式指定車（標準車後軸重８３０ｋｇ）を架装した車両で、車検証上の後軸重１２９０ｋｇの車両の後軸リーフスプリングが空車状態でたわみがなく、逆反りの手前までたわんでいる。さらにバンプストップラバーとリアアクスルの接触痕が見られる。許容限度までの荷重がかかっていないにもかかわらず、バンプストップラバーとリアアクスルの隙間が右側２５ｍｍ、左側３５ｍｍしかない。"
91,"2022年12月20日","埼玉県","ＨＰ","いすゞ","2016/11","QPG-CXZ77BT","ギガ","245,000 Km","6UZ1","動力伝達","２０２１年５月から","ＲＲデフキャリア付近にてオイル漏れが発生し、ディーラーで溶接による修理対応を行ったが、再発を繰り返し、最終的にアクスルケースの交換が必要と診断された。"
92,"2022年12月20日","埼玉県","ＨＰ","いすゞ","2016/06","QPG-CXZ77BT","ギガ","331,200 Km","6UZ1","動力伝達","２０１９年４月","ＲＲデフキャリア付近にてオイル漏れが発生した。ディーラーでアクスルケースの交換を行った。"
93,"2022年12月20日","埼玉県","ＨＰ","いすゞ","2015/03","QKG-CXZ77AT","ギガ","349,100 Km","6UZ1","動力伝達","２０１９年７月","ＲＲデフキャリア付近にてオイル漏れが発生し、ディーラーでアクスルケースの交換を行った。"
94,"2022年12月20日","埼玉県","ＨＰ","いすゞ","2015/03","QKG-CXZ77AT","ギガ","411,600 Km","6UZ1","動力伝達","２０２０年３月","ＲＲデフキャリア付近にてオイル漏れが発生し、アクスルケースを交換した。"
95,"2022年12月20日","滋賀県","ＨＰ","ニッサン","2017/05","ZAA-AZE0","リーフ","70,862 Km","EM57","制動装置","２０２２年１２月１２日","朝エンジン起動時にエンジンルームから聞きなれない異音（コトコト）がしており、ブレーキペダルの踏みごたえがスカスカで、奥まで踏み込むとガガガッゴリッとすごい異音がした。ディーラーでブレーキマスターシリンダーシステムの交換が必要と診断された。"
96,"2022年12月20日","岩手県","ﾌﾘｰﾀﾞｲｱﾙ","三菱","2011/03","DBA-CV5W","デリカ","168,000 Km","4B12","乗車装置","２０２２年１２月１６日","洗車機で洗車をしていたところ、突然左スライドドアが開いた。"
97,"2022年12月20日","青森県","ＨＰ","トヨタ","2003/06","TA-MNH15W","アルファード","185,612 Km","1MZ","かじ取り","２０２２年１１月４日","交差点で曲がろうとした際にハンドルが固まって全く動かなくなった。ディーラーで調査の結果、ステアリングコラムブラケットの交換が行われた。"
98,"2022年12月20日","山形県","ＨＰ","スバル","2015/10","DBA-BS9","レガシィ","82,100 Km","FB25","動力伝達","２０２２年１０月","エンジン始動時にＣＶＴからキュルキュル音が出る。"
