番号,受付日,住所,申告方法,車名,初度登録年月,型式,通称名,総走行距離,原動機型式,不具合装置,発生時期,申告内容
72,"2025年10月26日","東京都","ＨＰ","アウディ","2025/06","3BA-FU20","アウディ　Ａ５","","DWZ","電気装置","２０２５年８月","高速道路運転中にあらゆるエラーメッセージが発生して先進安全装備が動作しなくなる。"
73,"2025年10月26日","東京都","ＨＰ","アウディ","2025/06","3BA-FU20","アウディ　Ａ５","","DWZ","その他","２０２５年１０月","エンジン始動後、運転中にＡ／Ｃボタンやデフロスターボタンがグレーアウトし操作不能状態に陥る。"
74,"2025年10月26日","東京都","ＨＰ","ニッサン","2024/12","6AA-SNT33","エクストレイル","3,934 Km","KR15-BM46-MM48","エンジン","２０２５年１月","日産コネクトのサービスの一つ、乗る前エアコンのサービスが新車乗り始めから今まで１０か月の期間中、３割ほどしか作動しない。"
75,"2025年10月26日","福岡県","ＨＰ","ニッサン","2017/12","DAA-GFC27","セレナ","36,000 Km","MR20-SM24","燃料装置","３５０００ｋｍに達する直前","インジェクション不良により、エンジン警告灯が点滅した。"
76,"2025年10月26日","埼玉県","ＨＰ","スズキ","2006/10","TA-HN22S","Ｋｅｉ","182,000 Km","K6A","動力伝達","２０２５年１０月２５日","クラッチペダルを踏んださい、「バチン」と音がしてクラッチペダルの反発がなくなり、走行不能になった。確認したところ、クラッチワイヤーとクラッチペダルを接続している金具が割れて外れたことによりクラッチが切れなくなったものと判った。"
77,"2025年10月26日","兵庫県","ＨＰ","アルファロメオ","2018/11","ABA-95220","ジュリア","20,000 Km","55273835","燃料装置","２０２４年夏頃","セルは回るがエンジン始動しない。低速走行中にエンジンが息継ぎし、ストールしかける。"
78,"2025年10月26日","大阪府","ＨＰ","マツダ","2025/08","5BA-ND5RE","ＭＡＺＤＡ　ＲＯＡＤＳＴＥＲ","1,000 Km","P5","エンジン","新車の納車直後","走行時にエンジンルームから口笛のような異音が発生する。周波数は約８００Ｈｚで、アクセルペダル踏込み量に応じて異音の音量が大きくなる。"
79,"2025年10月25日","神奈川県","ＨＰ","ヤマハ","2016/09","EBL-RH07J","ＭＴ－０３","9,500 Km","H402E","保安灯火","毎回１年過ぎると起こる","純正ミラーのターナー機構が緩んでミラーが風圧で動いてしまう。"
80,"2025年10月25日","神奈川県","ＨＰ","ヤマハ","2016/09","EBL-RH07J","ＭＴ－０３","9,500 Km","H402E","電気装置","","発電装置からの配線経路が非常に熱を持ち、配線が焼け切れて電圧が下がり走行不能になって止まった。"
81,"2025年10月25日","広島県","ＨＰ","三菱","2025/03","5LA-GN0W","アウトランダーＰＨＥＶ","10,000 Km","4B12-S91-YA1","エンジン","２０２５年９月２７日","メインバッテリー内部のコンピューターエラーにより、出力が低下し速度が出なくなった。"
82,"2025年10月25日","埼玉県","ＨＰ","クライスラー","2014/11","ABA-KL32L","ジープ・チェロキー","153,000 Km","S","動力伝達","２０２２年１０月頃","１回目はギヤ破損して副変速機ケースが割れた。２回目は副変速機からの異音で交換した。"
83,"2025年10月25日","兵庫県","ＨＰ","トヨタ","2017/04","DBA-AGH30W","アルファード","174,749 Km","2AR","車枠・車体","２０２５年１０月１８日","ボンネットモールディングの樹脂取付部が破損し、外れた。"
84,"2025年10月24日","埼玉県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","","-","ハイゼット","","","電気装置","","ダイハツ・ハイゼットのキャンピング仕様車で、追加しているサブバッテリーの充電負荷の影響で、渋滞中にＤレンジで停車しているとエアコンが切れてしまう。また、アクセルペダルを踏み込んでも進んでいかないこともある。"
85,"2025年10月24日","東京都","ＨＰ","メルセデス・ベンツ","2014/01","DBA-246242","Ｂ１８０","46,054 Km","270","動力伝達","２０２５年７月２６日","低速走行中、トランスミッションが何らかの原因により故障し、何にも当たっていないのに急に「バキッ」と大きな音が鳴った。エンジンは動くが、ハンドル・ギアが操作できなくなったため、緊急停車させ、レッカー移動した。"
86,"2025年10月24日","神奈川県","ＨＰ","トヨタ","2024/02","6BA-MZRA90W","ノア","28,000 Km","M20A","制動装置","納車後１か月ぐらいから","駐車中から走り出した際にブレーキが鳴き続ける。キーキー音が酷い。"
87,"2025年10月24日","神奈川県","ＨＰ","トヨタ","2013/05","DAA-NHP10","アクア","34,580 Km","1NZ-1LM","保安灯火","２０１７年から","左右ドアミラーとも、格納された状態から展開した際に、途中で止まり全開できない。"
88,"2025年10月24日","静岡県","ＨＰ","トヨタ","","DAA-NHP10","アクア","50,500 Km","1NZ-1LM","保安灯火","いつの間にか","フロントドアガラスが濁り、曇りガラスのようになっている。"
89,"2025年10月23日","静岡県","ﾌﾘｰﾀﾞｲｱﾙ","ジープ","2020/09","ABA-M624","コンパス","49,000 Km","B","エンジン","２０２５年１０月２１日","信号発進時にアイドリングストップからエンジンがかからず、そのまま走行不能になった。ディーラーで確認した結果、スターターのマグネットが割れていて交換が必要と診断された。"
90,"2025年10月23日","沖縄県","ＨＰ","ニッサン","2015/06","HBD-DR17V","ＮＶ１００　クリッパー","62,900 Km","R06A","かじ取り","２０２５年１０月２０日","一般道路を走行中に突然ハンドルの制御が効かなくなり、道路沿いのコンクリートの壁にぶつかった。"
91,"2025年10月23日","東京都","ＨＰ","ＢＭＷ","2018/10","DBA-1R15","ＢＭＷ　１１８ｉ","22,000 Km","B38B15A","燃料装置","２０２５年１０月１６日","ガソリンを給油したところ、下からダダ漏れ状態になった。"
92,"2025年10月23日","茨城県","ＨＰ","スズキ","2023/10","4AA-MR52S","ハスラー","15,700 Km","R06A","その他","","エンジンルームに有るエアコンのドレンホースが短いため、足回りのメンバーに大量に水が溜まる。"
93,"2025年10月23日","滋賀県","24時間電話","ダイハツ","","-","ムーヴ","","","走行装置","３年目","３年の車検の前　ホイールが錆びているのを確認し、５年の車検の前に交換してもらったが、また１年で錆びが発生した。そのあと２本交換してもらったが、また１年後、錆がでた。"
94,"2025年10月22日","愛知県","ﾌﾘｰﾀﾞｲｱﾙ","ダイハツ","2018/01","DBA-LA700S","ウェイク","25,500 Km","KF","乗車装置","","運転席ドアを開閉する際に、後席スライドドアが勝手に開くことが有る。"
95,"2025年10月22日","長野県","ＨＰ","三菱","2024/08","2KG-FK65FZ","ふそうファイター","12,400 Km","6M60","かじ取り","２０２４年８月から現在に至る","高速走行を行うと、ハンドルが左に取られる。ディーラーではタイヤのパターンの問題と診断された。"
96,"2025年10月22日","静岡県","ＨＰ","いすゞ","2018/01","TPG-NJR85A","エルフ","53,000 Km","4JJ1","エンジン","２０２２年１２月から２０２３年９月まで","朝エンジンをかけるとアイドリング時に突然回転数が落ちエンストする。回転数を下げると５～１０回くらいはエンストする。"
97,"2025年10月22日","東京都","ＨＰ","ヒョンデ","2022/07","ZAA-NE2LRG","ＩＯＮＩＱ５","9,648 Km","EM17","制動装置","新車購入時より","安全装置が作動せず、自動停止しなかったため、横を擦ってしまった。"
